oryzias_latipes ENSORLG00000028110
oryzias_latipes_asm223469v1 ENSORLG00015016929
oryzias_melastigma ENSOMEG00000020082
latimeria_chalumnae ENSLACG00000003640
latimeria_chalumnae ENSLACG00000006477
latimeria_chalumnae ENSLACG00000013498
latimeria_chalumnae ENSLACG00000005185
latimeria_chalumnae ENSLACG00000004491
latimeria_chalumnae ENSLACG00000000872
latimeria_chalumnae ENSLACG00000006444
latimeria_chalumnae ENSLACG00000004634
latimeria_chalumnae ENSLACG00000004063
latimeria_chalumnae ENSLACG00000004980
latimeria_chalumnae ENSLACG00000012056
latimeria_chalumnae ENSLACG00000014784
lepisosteus_oculatus ENSLOCG00000010619
ciona_savignyi ENSCSAVG00000007113
