sphenodon_punctatus ENSSPUG00000005028
pogona_vitticeps ENSPVIG00000018110
numida_meleagris ENSNMEG00000015136
calidris_pygmaea ENSCPGG00000008837
coturnix_japonica ENSCJPG00005004582
vulpes_vulpes ENSVVUG00000029384
canis_lupus_dingo ENSCAFG00020024135
neovison_vison ENSNVIG00000006961
panthera_tigris_altaica ENSPTIG00000009233
pan_paniscus ENSPPAG00000003654
gorilla_gorilla ENSGGOG00000025511
meriones_unguiculatus ENSMUGG00000001767
sus_scrofa ENSSSCG00000040289
pan_troglodytes ENSPTRG00000009492
pan_paniscus ENSPPAG00000006173
homo_sapiens ENSG00000253506
gorilla_gorilla ENSGGOG00000002110
pongo_abelii ENSPPYG00000008801
gorilla_gorilla ENSGGOG00000022648
theropithecus_gelada ENSTGEG00000020158
piliocolobus_tephrosceles ENSPTEG00000038044
phascolarctos_cinereus ENSPCIG00000017339
monopterus_albus ENSMALG00000022349
