ciona_intestinalis ENSCING00000024160
ciona_savignyi ENSCSAVG00000001373
scleropages_formosus ENSSFOG00015008768
paramormyrops_kingsleyae ENSPKIG00000003888
pygocentrus_nattereri ENSPNAG00000018946
astyanax_mexicanus ENSAMXG00000017229
ictalurus_punctatus ENSIPUG00000019061
danio_rerio ENSDARG00000060537
scophthalmus_maximus ENSSMAG00000005022
cynoglossus_semilaevis ENSCSEG00000002360
seriola_dumerili ENSSDUG00000008090
seriola_lalandi_dorsalis ENSSLDG00000002518
monopterus_albus ENSMALG00000018365
mastacembelus_armatus ENSMAMG00000011848
anabas_testudineus ENSATEG00000018272
takifugu_rubripes ENSTRUG00000005641
tetraodon_nigroviridis ENSTNIG00000010719
mola_mola ENSMMOG00000004370
labrus_bergylta ENSLBEG00000024508
amphiprion_ocellaris ENSAOCG00000008338
amphiprion_percula ENSAPEG00000017035
acanthochromis_polyacanthus ENSAPOG00000012697
stegastes_partitus ENSSPAG00000009500
xiphophorus_maculatus ENSXMAG00000003479
xiphophorus_couchianus ENSXCOG00000007777
gambusia_affinis ENSGAFG00000008779
poecilia_formosa ENSPFOG00000001773
poecilia_latipinna ENSPLAG00000007335
poecilia_mexicana ENSPMEG00000001584
poecilia_reticulata ENSPREG00000016650
fundulus_heteroclitus ENSFHEG00000020711
cyprinodon_variegatus ENSCVAG00000012992
kryptolebias_marmoratus ENSKMAG00000001624
oryzias_latipes_asm223469v1 ENSORLG00015015186
oryzias_latipes ENSORLG00000010036
oryzias_latipes ENSORLG00020001350
oryzias_melastigma ENSOMEG00000020237
maylandia_zebra ENSMZEG00005010661
astatotilapia_calliptera ENSACLG00000025731
pundamilia_nyererei ENSPNYG00000000706
haplochromis_burtoni ENSHBUG00000016353
oreochromis_niloticus ENSONIG00000001000
neolamprologus_brichardi ENSNBRG00000019913
amphilophus_citrinellus ENSACIG00000004822
gasterosteus_aculeatus ENSGACG00000012397
hippocampus_comes ENSHCOG00000004261
periophthalmus_magnuspinnatus ENSPMGG00000024094
gadus_morhua ENSGMOG00000010535
esox_lucius ENSELUG00000001345
lepisosteus_oculatus ENSLOCG00000016615
pan_troglodytes ENSPTRG00000011702
pan_paniscus ENSPPAG00000033306
gorilla_gorilla ENSGGOG00000006027
homo_sapiens ENSG00000119778
pongo_abelii ENSPPYG00000012609
nomascus_leucogenys ENSNLEG00000000713
rhinopithecus_roxellana ENSRROG00000031703
rhinopithecus_bieti ENSRBIG00000039362
piliocolobus_tephrosceles ENSPTEG00000037536
colobus_angolensis_palliatus ENSCANG00000004878
mandrillus_leucophaeus ENSMLEG00000030250
cercocebus_atys ENSCATG00000035587
theropithecus_gelada ENSTGEG00000019100
papio_anubis ENSPANG00000021884
macaca_fascicularis ENSMFAG00000045919
macaca_nemestrina ENSMNEG00000040701
macaca_mulatta ENSMMUG00000020952
chlorocebus_sabaeus ENSCSAG00000008290
cebus_capucinus ENSCCAG00000031116
saimiri_boliviensis_boliviensis ENSSBOG00000032583
callithrix_jacchus ENSCJAG00000007628
aotus_nancymaae ENSANAG00000024449
carlito_syrichta ENSTSYG00000005859
prolemur_simus ENSPSMG00000006746
microcebus_murinus ENSMICG00000003489
propithecus_coquereli ENSPCOG00000028416
otolemur_garnettii ENSOGAG00000004574
oryctolagus_cuniculus ENSOCUG00000005723
ochotona_princeps ENSOPRG00000016845
tupaia_belangeri ENSTBEG00000006692
urocitellus_parryii ENSUPAG00010008759
marmota_marmota_marmota ENSMMMG00000021898
ictidomys_tridecemlineatus ENSSTOG00000021066
spermophilus_dauricus ENSSDAG00000024064
jaculus_jaculus ENSJJAG00000017291
castor_canadensis ENSCCNG00000027615
dipodomys_ordii ENSDORG00000027743
chinchilla_lanigera ENSCLAG00000005215
octodon_degus ENSODEG00000009834
cavia_porcellus ENSCPOG00000014176
cavia_aperea ENSCAPG00000015864
heterocephalus_glaber_male ENSHGLG00100005982
heterocephalus_glaber_female ENSHGLG00000015927
fukomys_damarensis ENSFDAG00000000237
peromyscus_maniculatus_bairdii ENSPEMG00000010515
microtus_ochrogaster ENSMOCG00000000408
cricetulus_griseus_chok1gshd ENSCGRG00001016996
cricetulus_griseus_crigri ENSCGRG00000002542
cricetulus_griseus_crigri-picr ENSCGRG00015027039
mus_spicilegus ENSMSIG00000021765
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018439
mus_musculus ENSMUSG00000052812
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017595
mus_pahari MGP_PahariEiJ_G0029353
rattus_norvegicus ENSRNOG00000058973
meriones_unguiculatus ENSMUGG00000003719
nannospalax_galili ENSNGAG00000003640
sorex_araneus ENSSARG00000002490
mesocricetus_auratus ENSMAUG00000016676
pteropus_vampyrus ENSPVAG00000013846
myotis_lucifugus ENSMLUG00000004476
sus_scrofa ENSSSCG00000008591
vicugna_pacos ENSVPAG00000005537
ovis_aries ENSOARG00000017605
capra_hircus ENSCHIG00000016699
bos_taurus ENSBTAG00000017255
bos_mutus ENSBMUG00000006045
bison_bison_bison ENSBBBG00000018952
tursiops_truncatus ENSTTRG00000013843
equus_asinus_asinus ENSEASG00005009516
equus_caballus ENSECAG00000023573
ursus_maritimus ENSUMAG00000022911
