mandrillus_leucophaeus ENSMLEG00000006099
theropithecus_gelada ENSTGEG00000009768
papio_anubis ENSPANG00000030769
macaca_fascicularis ENSMFAG00000007498
macaca_mulatta ENSMMUG00000046168
macaca_nemestrina ENSMNEG00000027467
cercocebus_atys ENSCATG00000021769
rhinopithecus_roxellana ENSRROG00000013236
rhinopithecus_bieti ENSRBIG00000030344
pan_troglodytes ENSPTRG00000046482
pan_paniscus ENSPPAG00000041361
pan_troglodytes ENSPTRG00000050200
nomascus_leucogenys ENSNLEG00000030128
gorilla_gorilla ENSGGOG00000042663
