maylandia_zebra ENSMZEG00005027547
amphilophus_citrinellus ENSACIG00000009862
amphiprion_ocellaris ENSAOCG00000023339
oryzias_melastigma ENSOMEG00000006890
gasterosteus_aculeatus ENSGACG00000012668
pygocentrus_nattereri ENSPNAG00000008439
astyanax_mexicanus ENSAMXG00000008196
ictalurus_punctatus ENSIPUG00000017077
danio_rerio ENSDARG00000007271
oryctolagus_cuniculus ENSOCUG00000012760
ochotona_princeps ENSOPRG00000001316
nannospalax_galili ENSNGAG00000008976
cricetulus_griseus_crigri-picr ENSCGRG00015015742
cricetulus_griseus_crigri ENSCGRG00000014663
cricetulus_griseus_chok1gshd ENSCGRG00001018211
peromyscus_maniculatus_bairdii ENSPEMG00000018640
microtus_ochrogaster ENSMOCG00000004626
mus_spicilegus ENSMSIG00000006561
mus_musculus ENSMUSG00000006310
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030628
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029532
mus_pahari MGP_PahariEiJ_G0012766
rattus_norvegicus ENSRNOG00000042465
meriones_unguiculatus ENSMUGG00000013301
spermophilus_dauricus ENSSDAG00000009157
spermophilus_dauricus ENSSDAG00000009162
marmota_marmota_marmota ENSMMMG00000005625
urocitellus_parryii ENSUPAG00010011817
tupaia_belangeri ENSTBEG00000006535
pan_paniscus ENSPPAG00000031211
pan_troglodytes ENSPTRG00000010857
homo_sapiens ENSG00000011590
gorilla_gorilla ENSGGOG00000016789
pongo_abelii ENSPPYG00000009876
nomascus_leucogenys ENSNLEG00000011302
theropithecus_gelada ENSTGEG00000009756
papio_anubis ENSPANG00000009043
macaca_nemestrina ENSMNEG00000036607
macaca_mulatta ENSMMUG00000002375
macaca_fascicularis ENSMFAG00000034114
cercocebus_atys ENSCATG00000019611
mandrillus_leucophaeus ENSMLEG00000024571
chlorocebus_sabaeus ENSCSAG00000004395
piliocolobus_tephrosceles ENSPTEG00000014885
rhinopithecus_bieti ENSRBIG00000037073
colobus_angolensis_palliatus ENSCANG00000031543
cebus_capucinus ENSCCAG00000000774
saimiri_boliviensis_boliviensis ENSSBOG00000025572
saimiri_boliviensis_boliviensis ENSSBOG00000034407
callithrix_jacchus ENSCJAG00000046270
aotus_nancymaae ENSANAG00000034122
carlito_syrichta ENSTSYG00000008895
microcebus_murinus ENSMICG00000045992
prolemur_simus ENSPSMG00000000574
propithecus_coquereli ENSPCOG00000003160
otolemur_garnettii ENSOGAG00000004155
ursus_americanus ENSUAMG00000020706
ursus_maritimus ENSUMAG00000020255
ailuropoda_melanoleuca ENSAMEG00000000589
neovison_vison ENSNVIG00000017543
mustela_putorius_furo ENSMPUG00000006234
vulpes_vulpes ENSVVUG00000015089
canis_lupus_dingo ENSCAFG00020018613
panthera_tigris_altaica ENSPTIG00000021084
panthera_pardus ENSPPRG00000008152
felis_catus ENSFCAG00000006380
equus_caballus ENSECAG00000005671
equus_asinus_asinus ENSEASG00005001159
pteropus_vampyrus ENSPVAG00000012825
myotis_lucifugus ENSMLUG00000011396
erinaceus_europaeus ENSEEUG00000004782
bos_taurus ENSBTAG00000023611
bos_mutus ENSBMUG00000017156
bison_bison_bison ENSBBBG00000000407
capra_hircus ENSCHIG00000004618
tursiops_truncatus ENSTTRG00000002232
sus_scrofa ENSSSCG00000002908
loxodonta_africana ENSLAFG00000018739
procavia_capensis ENSPCAG00000004529
choloepus_hoffmanni ENSCHOG00000001017
castor_canadensis ENSCCNG00000008619
castor_canadensis ENSCCNG00000008622
mesocricetus_auratus ENSMAUG00000020943
