pan_troglodytes ENSPTRG00000011559
pan_paniscus ENSPPAG00000038996
homo_sapiens ENSG00000121406
gorilla_gorilla ENSGGOG00000026189
pongo_abelii ENSPPYG00000010471
nomascus_leucogenys ENSNLEG00000010976
colobus_angolensis_palliatus ENSCANG00000041608
piliocolobus_tephrosceles ENSPTEG00000002955
rhinopithecus_roxellana ENSRROG00000015528
rhinopithecus_bieti ENSRBIG00000036158
papio_anubis ENSPANG00000012181
theropithecus_gelada ENSTGEG00000016823
mandrillus_leucophaeus ENSMLEG00000035006
cercocebus_atys ENSCATG00000031688
chlorocebus_sabaeus ENSCSAG00000001631
macaca_fascicularis ENSMFAG00000037822
macaca_mulatta ENSMMUG00000006121
macaca_nemestrina ENSMNEG00000039949
saimiri_boliviensis_boliviensis ENSSBOG00000020520
callithrix_jacchus ENSCJAG00000046873
cebus_capucinus ENSCCAG00000021580
aotus_nancymaae ENSANAG00000031066
carlito_syrichta ENSTSYG00000035966
microcebus_murinus ENSMICG00000030760
prolemur_simus ENSPSMG00000017571
propithecus_coquereli ENSPCOG00000017125
ictidomys_tridecemlineatus ENSSTOG00000030421
marmota_marmota_marmota ENSMMMG00000000073
urocitellus_parryii ENSUPAG00010000288
tupaia_belangeri ENSTBEG00000004367
mustela_putorius_furo ENSMPUG00000006339
