sorex_araneus ENSSARG00000007014
erinaceus_europaeus ENSEEUG00000001404
ursus_maritimus ENSUMAG00000015754
ursus_americanus ENSUAMG00000015982
ailuropoda_melanoleuca ENSAMEG00000005015
canis_lupus_dingo ENSCAFG00020023334
canis_lupus_familiaris ENSCAFG00000016878
vulpes_vulpes ENSVVUG00000003399
mustela_putorius_furo ENSMPUG00000015338
neovison_vison ENSNVIG00000006167
panthera_tigris_altaica ENSPTIG00000020855
panthera_pardus ENSPPRG00000004550
felis_catus ENSFCAG00000010622
equus_caballus ENSECAG00000015498
equus_asinus_asinus ENSEASG00005000430
pteropus_vampyrus ENSPVAG00000011485
myotis_lucifugus ENSMLUG00000014073
bos_mutus ENSBMUG00000000720
bos_taurus ENSBTAG00000007935
bison_bison_bison ENSBBBG00000005726
capra_hircus ENSCHIG00000025313
ovis_aries ENSOARG00000006705
tursiops_truncatus ENSTTRG00000008488
sus_scrofa ENSSSCG00000017543
vicugna_pacos ENSVPAG00000007652
peromyscus_maniculatus_bairdii ENSPEMG00000028729
dasypus_novemcinctus ENSDNOG00000016284
dasypus_novemcinctus ENSDNOG00000038406
choloepus_hoffmanni ENSCHOG00000013334
loxodonta_africana ENSLAFG00000016693
procavia_capensis ENSPCAG00000005941
cricetulus_griseus_chok1gshd ENSCGRG00001011435
cricetulus_griseus_crigri-picr ENSCGRG00015020143
cricetulus_griseus_crigri ENSCGRG00000004238
cricetulus_griseus_crigri-picr ENSCGRG00015001459
peromyscus_maniculatus_bairdii ENSPEMG00000025676
meriones_unguiculatus ENSMUGG00000011196
meriones_unguiculatus ENSMUGG00000010920
mus_spicilegus ENSMSIG00000018956
mus_spicilegus ENSMSIG00000021339
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017867
mus_musculus ENSMUSG00000006056
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017021
mus_pahari MGP_PahariEiJ_G0018151
rattus_norvegicus ENSRNOG00000052883
cavia_aperea ENSCAPG00000005816
cavia_porcellus ENSCPOG00000021273
chinchilla_lanigera ENSCLAG00000015881
heterocephalus_glaber_female ENSHGLG00000012114
heterocephalus_glaber_male ENSHGLG00100012406
fukomys_damarensis ENSFDAG00000002614
ictidomys_tridecemlineatus ENSSTOG00000013395
castor_canadensis ENSCCNG00000006146
dipodomys_ordii ENSDORG00000024585
nannospalax_galili ENSNGAG00000023585
urocitellus_parryii ENSUPAG00010006243
spermophilus_dauricus ENSSDAG00000011718
ictidomys_tridecemlineatus ENSSTOG00000030332
marmota_marmota_marmota ENSMMMG00000000759
marmota_marmota_marmota ENSMMMG00000014827
oryctolagus_cuniculus ENSOCUG00000016209
ochotona_princeps ENSOPRG00000010161
tupaia_belangeri ENSTBEG00000002802
pan_troglodytes ENSPTRG00000009363
pan_paniscus ENSPPAG00000037813
gorilla_gorilla ENSGGOG00000005537
homo_sapiens ENSG00000136436
pongo_abelii ENSPPYG00000008907
nomascus_leucogenys ENSNLEG00000002619
rhinopithecus_roxellana ENSRROG00000042598
rhinopithecus_bieti ENSRBIG00000035235
colobus_angolensis_palliatus ENSCANG00000005150
piliocolobus_tephrosceles ENSPTEG00000033169
macaca_mulatta ENSMMUG00000012178
macaca_fascicularis ENSMFAG00000000840
macaca_nemestrina ENSMNEG00000041410
cercocebus_atys ENSCATG00000007708
papio_anubis ENSPANG00000022881
theropithecus_gelada ENSTGEG00000029109
mandrillus_leucophaeus ENSMLEG00000034129
chlorocebus_sabaeus ENSCSAG00000002506
saimiri_boliviensis_boliviensis ENSSBOG00000035276
cebus_capucinus ENSCCAG00000020518
