pelodiscus_sinensis ENSPSIG00000014546
meleagris_gallopavo ENSMGAG00000002799
ictalurus_punctatus ENSIPUG00000018012
astyanax_mexicanus ENSAMXG00000024263
oryzias_melastigma ENSOMEG00000021969
amphilophus_citrinellus ENSACIG00000001991
taeniopygia_guttata ENSTGUG00000007644
meleagris_gallopavo ENSMGAG00000006884
anolis_carolinensis ENSACAG00000000604
scophthalmus_maximus ENSSMAG00000000921
seriola_dumerili ENSSDUG00000013035
anabas_testudineus ENSATEG00000003327
latimeria_chalumnae ENSLACG00000016343
sus_scrofa ENSSSCG00000011355
ovis_aries ENSOARG00000017257
ailuropoda_melanoleuca ENSAMEG00000000748
mustela_putorius_furo ENSMPUG00000014544
mus_musculus ENSMUSG00000025650
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033854
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032709
mus_pahari MGP_PahariEiJ_G0015577
cavia_aperea ENSCAPG00000008644
ictidomys_tridecemlineatus ENSSTOG00000010204
oryctolagus_cuniculus ENSOCUG00000012349
saimiri_boliviensis_boliviensis ENSSBOG00000030920
rhinopithecus_roxellana ENSRROG00000039900
ornithorhynchus_anatinus ENSOANG00000001853
dromaius_novaehollandiae ENSDNVG00000019143
seriola_dumerili ENSSDUG00000000345
seriola_lalandi_dorsalis ENSSLDG00000003820
scophthalmus_maximus ENSSMAG00000005988
anabas_testudineus ENSATEG00000006890
oreochromis_niloticus ENSONIG00000001953
amphilophus_citrinellus ENSACIG00000008065
kryptolebias_marmoratus ENSKMAG00000022251
poecilia_formosa ENSPFOG00000007239
tetraodon_nigroviridis ENSTNIG00000015497
gasterosteus_aculeatus ENSGACG00000010884
mastacembelus_armatus ENSMAMG00000004344
oryzias_latipes ENSORLG00020013057
labrus_bergylta ENSLBEG00000004990
esox_lucius ENSELUG00000008676
danio_rerio ENSDARG00000002295
ictalurus_punctatus ENSIPUG00000017283
lepisosteus_oculatus ENSLOCG00000009719
latimeria_chalumnae ENSLACG00000014476
ciona_intestinalis ENSCING00000006138
