denticeps_clupeoides ENSDCDG00000000939
clupea_harengus ENSCHAG00000005946
astyanax_mexicanus ENSAMXG00005019102
astyanax_mexicanus ENSAMXG00000006892
pygocentrus_nattereri ENSPNAG00000012918
electrophorus_electricus ENSEEEG00000003393
ictalurus_punctatus ENSIPUG00000012215
danio_rerio ENSDARG00000060645
poecilia_formosa ENSPFOG00000003047
poecilia_mexicana ENSPMEG00000014326
poecilia_latipinna ENSPLAG00000001609
poecilia_reticulata ENSPREG00000000433
xiphophorus_maculatus ENSXMAG00000012959
xiphophorus_couchianus ENSXCOG00000014411
fundulus_heteroclitus ENSFHEG00000018718
cyprinodon_variegatus ENSCVAG00000019953
kryptolebias_marmoratus ENSKMAG00000018989
oryzias_latipes ENSORLG00000012165
oryzias_latipes ENSORLG00020004817
oryzias_latipes ENSORLG00015003430
oryzias_melastigma ENSOMEG00000012708
periophthalmus_magnuspinnatus ENSPMGG00000016385
hippocampus_comes ENSHCOG00000015014
cynoglossus_semilaevis ENSCSEG00000008179
takifugu_rubripes ENSTRUG00000011956
tetraodon_nigroviridis ENSTNIG00000014055
gasterosteus_aculeatus ENSGACG00000019035
larimichthys_crocea ENSLCRG00005022213
mola_mola ENSMMOG00000007832
labrus_bergylta ENSLBEG00000009603
cottoperca_gobio ENSCGOG00000002302
mastacembelus_armatus ENSMAMG00000011451
monopterus_albus ENSMALG00000005611
anabas_testudineus ENSATEG00000019785
betta_splendens ENSBSLG00000001364
seriola_dumerili ENSSDUG00000001789
seriola_lalandi ENSSLDG00000012403
lates_calcarifer ENSLCAG00010005400
scophthalmus_maximus ENSSMAG00000005491
amphiprion_percula ENSAPEG00000014084
amphiprion_ocellaris ENSAOCG00000007728
acanthochromis_polyacanthus ENSAPOG00000010057
stegastes_partitus ENSSPAG00000007954
parambassis_ranga ENSPRNG00000008888
pundamilia_nyererei ENSPNYG00000002181
astatotilapia_calliptera ENSACLG00000020038
maylandia_zebra ENSMZEG00005007936
haplochromis_burtoni ENSHBUG00000019019
neolamprologus_brichardi ENSNBRG00000023660
oreochromis_niloticus ENSONIG00000017759
amphilophus_citrinellus ENSACIG00000008760
gouania_willdenowi ENSGWIG00000010116
gadus_morhua ENSGMOG00000006154
hucho_hucho ENSHHUG00000011807
hucho_hucho ENSHHUG00000011806
hucho_hucho ENSHHUG00000015057
esox_lucius ENSELUG00000018223
scleropages_formosus ENSSFOG00015021066
paramormyrops_kingsleyae ENSPKIG00000010175
lepisosteus_oculatus ENSLOCG00000012572
erpetoichthys_calabaricus ENSECRG00000013203
latimeria_chalumnae ENSLACG00000008982
callorhinchus_milii ENSCMIG00000019134
pelodiscus_sinensis ENSPSIG00000016168
pelodiscus_sinensis ENSPSIG00000002095
chelonoidis_abingdonii ENSCABG00000009752
chrysemys_picta ENSCPBG00000011508
anser_brachyrhynchus ENSABRG00000010708
anas_platyrhynchos ENSAPLG00000015312
gallus_gallus ENSGALG00000007286
coturnix_japonica ENSCJPG00005021108
numida_meleagris ENSNMEG00000016365
taeniopygia_guttata ENSTGUG00000003547
lonchura_striata ENSLSDG00000002938
parus_major ENSPMJG00000015229
lepidothrix_coronata ENSLCOG00000012626
taeniopygia_guttata ENSTGUG00000003534
ficedula_albicollis ENSFALG00000011895
zonotrichia_albicollis ENSZALG00000015261
melopsittacus_undulatus ENSMUNG00000009741
calidris_pugnax ENSCPUG00000000903
calidris_pygmaea ENSCPGG00000015247
apteryx_owenii ENSAOWG00000002428
apteryx_haastii ENSAHAG00000003168
apteryx_rowi ENSARWG00000007380
nothoprocta_perdicaria ENSNPEG00000009943
pogona_vitticeps ENSPVIG00000013952
anolis_carolinensis ENSACAG00000010434
notechis_scutatus ENSNSUG00000010641
salvator_merianae ENSSMRG00000023349
sphenodon_punctatus ENSSPUG00000004678
phascolarctos_cinereus ENSPCIG00000029553
vombatus_ursinus ENSVURG00010008529
notamacropus_eugenii ENSMEUG00000012180
monodelphis_domestica ENSMODG00000003076
sarcophilus_harrisii ENSSHAG00000009999
pan_troglodytes ENSPTRG00000030739
pan_paniscus ENSPPAG00000035571
homo_sapiens ENSG00000187531
gorilla_gorilla ENSGGOG00000013961
pongo_abelii ENSPPYG00000008753
nomascus_leucogenys ENSNLEG00000007509
theropithecus_gelada ENSTGEG00000011075
papio_anubis ENSPANG00000019167
mandrillus_leucophaeus ENSMLEG00000033723
macaca_fascicularis ENSMFAG00000045096
