equus_caballus ENSECAG00000020012
equus_asinus_asinus ENSEASG00005017319
pteropus_vampyrus ENSPVAG00000014947
vicugna_pacos ENSVPAG00000007521
mustela_putorius_furo ENSMPUG00000012935
ovis_aries ENSOARG00000000439
capra_hircus ENSCHIG00000014045
bos_mutus ENSBMUG00000002000
bos_taurus ENSBTAG00000006129
bison_bison_bison ENSBBBG00000004949
tursiops_truncatus ENSTTRG00000009553
sus_scrofa ENSSSCG00000007814
ursus_americanus ENSUAMG00000019585
ursus_maritimus ENSUMAG00000007028
ailuropoda_melanoleuca ENSAMEG00000011063
neovison_vison ENSNVIG00000006561
mustela_putorius_furo ENSMPUG00000012930
canis_lupus_familiaris ENSCAFG00000017396
canis_lupus_dingo ENSCAFG00020011691
vulpes_vulpes ENSVVUG00000024138
panthera_pardus ENSPPRG00000002577
panthera_tigris_altaica ENSPTIG00000019879
felis_catus ENSFCAG00000009928
castor_canadensis ENSCCNG00000014233
dipodomys_ordii ENSDORG00000011925
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031551
mus_spicilegus ENSMSIG00000017392
mus_musculus ENSMUSG00000032743
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030437
mus_pahari MGP_PahariEiJ_G0013647
rattus_norvegicus ENSRNOG00000016635
meriones_unguiculatus ENSMUGG00000011584
cricetulus_griseus_crigri-picr ENSCGRG00015026202
cricetulus_griseus_chok1gshd ENSCGRG00001018820
cricetulus_griseus_crigri ENSCGRG00000008445
mesocricetus_auratus ENSMAUG00000013784
peromyscus_maniculatus_bairdii ENSPEMG00000011544
microtus_ochrogaster ENSMOCG00000017061
nannospalax_galili ENSNGAG00000020121
jaculus_jaculus ENSJJAG00000018459
chinchilla_lanigera ENSCLAG00000011054
octodon_degus ENSODEG00000012822
cavia_aperea ENSCAPG00000015754
cavia_porcellus ENSCPOG00000007663
heterocephalus_glaber_female ENSHGLG00000016183
heterocephalus_glaber_male ENSHGLG00100005468
urocitellus_parryii ENSUPAG00010011327
ictidomys_tridecemlineatus ENSSTOG00000023787
marmota_marmota_marmota ENSMMMG00000023559
spermophilus_dauricus ENSSDAG00000008726
oryctolagus_cuniculus ENSOCUG00000016566
ochotona_princeps ENSOPRG00000006522
tupaia_belangeri ENSTBEG00000014983
pan_paniscus ENSPPAG00000036183
pan_troglodytes ENSPTRG00000007917
homo_sapiens ENSG00000047578
gorilla_gorilla ENSGGOG00000017086
pongo_abelii ENSPPYG00000007216
nomascus_leucogenys ENSNLEG00000011610
papio_anubis ENSPANG00000018771
cercocebus_atys ENSCATG00000031487
macaca_mulatta ENSMMUG00000015570
macaca_fascicularis ENSMFAG00000040082
macaca_nemestrina ENSMNEG00000029483
mandrillus_leucophaeus ENSMLEG00000042222
theropithecus_gelada ENSTGEG00000017435
chlorocebus_sabaeus ENSCSAG00000006416
piliocolobus_tephrosceles ENSPTEG00000020631
colobus_angolensis_palliatus ENSCANG00000029952
rhinopithecus_roxellana ENSRROG00000029325
rhinopithecus_bieti ENSRBIG00000028359
saimiri_boliviensis_boliviensis ENSSBOG00000019922
cebus_capucinus ENSCCAG00000027874
callithrix_jacchus ENSCJAG00000005965
aotus_nancymaae ENSANAG00000033504
carlito_syrichta ENSTSYG00000011903
prolemur_simus ENSPSMG00000000393
propithecus_coquereli ENSPCOG00000018970
microcebus_murinus ENSMICG00000042641
otolemur_garnettii ENSOGAG00000015915
loxodonta_africana ENSLAFG00000002456
procavia_capensis ENSPCAG00000005775
echinops_telfairi ENSETEG00000011712
dasypus_novemcinctus ENSDNOG00000011430
