marmota_marmota ENSMMMG00000018329
urocitellus_parryii ENSUPAG00010018698
ictidomys_tridecemlineatus ENSSTOG00000025894
spermophilus_dauricus ENSSDAG00000014461
castor_canadensis ENSCCNG00000023616
heterocephalus_glaber ENSHGLG00000018302
heterocephalus_glaber ENSHGLG00100007602
heterocephalus_glaber ENSHGLG00100011402
cavia_porcellus ENSCPOG00000025016
oryctolagus_cuniculus ENSOCUG00000026295
prolemur_simus ENSPSMG00000009305
microcebus_murinus ENSMICG00000028342
propithecus_coquereli ENSPCOG00000013320
carlito_syrichta ENSTSYG00000035794
bos_indicus ENSBIXG00000020208
bos_indicus ENSBIXG00005001968
bos_taurus ENSBTAG00000040533
bos_mutus ENSBMUG00000007870
bison_bison ENSBBBG00000023122
capra_hircus ENSCHIG00000005112
ovis_aries ENSOARG00000002527
sus_scrofa ENSSSCG00000037870
ursus_americanus ENSUAMG00000017162
ursus_maritimus ENSUMAG00000024423
neovison_vison ENSNVIG00000017188
panthera_pardus ENSPPRG00000020910
panthera_tigris ENSPTIG00000005405
felis_catus ENSFCAG00000025069
myotis_lucifugus ENSMLUG00000022539
mus_musculus ENSMUSG00000069708
mus_spicilegus ENSMSIG00000013387
mus_spretus MGP_SPRETEiJ_G0015986
mus_caroli MGP_CAROLIEiJ_G0015177
mus_pahari MGP_PahariEiJ_G0023797
rattus_norvegicus ENSRNOG00000025982
meriones_unguiculatus ENSMUGG00000009585
cricetulus_griseus ENSCGRG00001002278
cricetulus_griseus ENSCGRG00000005840
cricetulus_griseus ENSCGRG00015026549
mesocricetus_auratus ENSMAUG00000010678
peromyscus_maniculatus ENSPEMG00000001193
nannospalax_galili ENSNGAG00000016369
jaculus_jaculus ENSJJAG00000003037
saimiri_boliviensis ENSSBOG00000007244
cebus_capucinus ENSCCAG00000004925
aotus_nancymaae ENSANAG00000037359
macaca_nemestrina ENSMNEG00000001751
macaca_mulatta ENSMMUG00000004988
macaca_fascicularis ENSMFAG00000025450
theropithecus_gelada ENSTGEG00000011385
cercocebus_atys ENSCATG00000013309
papio_anubis ENSPANG00000035895
mandrillus_leucophaeus ENSMLEG00000024567
colobus_angolensis ENSCANG00000006750
equus_asinus ENSEASG00005011091
equus_caballus ENSECAG00000006185
loxodonta_africana ENSLAFG00000030742
vombatus_ursinus ENSVURG00010005559
phascolarctos_cinereus ENSPCIG00000004656
monodelphis_domestica ENSMODG00000023313
ornithorhynchus_anatinus ENSOANG00000010185
