stegastes_partitus ENSSPAG00000019012
amphiprion_ocellaris ENSAOCG00000012887
periophthalmus_magnuspinnatus ENSPMGG00000022030
seriola_lalandi_dorsalis ENSSLDG00000025272
neolamprologus_brichardi ENSNBRG00000014784
hippocampus_comes ENSHCOG00000012991
mola_mola ENSMMOG00000014713
labrus_bergylta ENSLBEG00000001627
xiphophorus_couchianus ENSXCOG00000018699
scleropages_formosus ENSSFOG00015021759
apteryx_rowi ENSARWG00000003124
apteryx_haastii ENSAHAG00000018025
apteryx_owenii ENSAOWG00000017368
nothoprocta_perdicaria ENSNPEG00000016257
sphenodon_punctatus ENSSPUG00000009252
manacus_vitellinus ENSMVIG00005019661
calidris_pygmaea ENSCPGG00000004310
chrysemys_picta_bellii ENSCPBG00000013545
bison_bison_bison ENSBBBG00000003110
ursus_americanus ENSUAMG00000002732
