kryptolebias_marmoratus ENSKMAG00000012319
monopterus_albus ENSMALG00000001897
pundamilia_nyererei ENSPNYG00000023553
periophthalmus_magnuspinnatus ENSPMGG00000004735
chelonoidis_abingdonii ENSCABG00000001711
chrysemys_picta_bellii ENSCPBG00000002740
numida_meleagris ENSNMEG00000012343
coturnix_japonica ENSCJPG00005010259
anser_brachyrhynchus ENSABRG00000021630
lepidothrix_coronata ENSLCOG00000011147
manacus_vitellinus ENSMVIG00005008827
serinus_canaria ENSSCAG00000002945
cyanistes_caeruleus ENSCCEG00000017715
calidris_pygmaea ENSCPGG00000014959
calidris_pugnax ENSCPUG00000016702
apteryx_owenii ENSAOWG00000008809
apteryx_haastii ENSAHAG00000011922
dromaius_novaehollandiae ENSDNVG00000019188
nothoprocta_perdicaria ENSNPEG00000012774
