seriola_dumerili ENSSDUG00000008369
seriola_lalandi_dorsalis ENSSLDG00000009818
scophthalmus_maximus ENSSMAG00000011955
gasterosteus_aculeatus ENSGACG00000004015
mola_mola ENSMMOG00000003065
mastacembelus_armatus ENSMAMG00000006649
monopterus_albus ENSMALG00000015783
anabas_testudineus ENSATEG00000000485
astatotilapia_calliptera ENSACLG00000004956
astatotilapia_calliptera ENSACLG00000024427
maylandia_zebra ENSMZEG00005025227
pundamilia_nyererei ENSPNYG00000014489
haplochromis_burtoni ENSHBUG00000011137
neolamprologus_brichardi ENSNBRG00000024405
oreochromis_niloticus ENSONIG00000008021
amphilophus_citrinellus ENSACIG00000005806
amphiprion_percula ENSAPEG00000011602
amphiprion_ocellaris ENSAOCG00000008568
acanthochromis_polyacanthus ENSAPOG00000021607
fundulus_heteroclitus ENSFHEG00000022305
cyprinodon_variegatus ENSCVAG00000015620
poecilia_formosa ENSPFOG00000007403
poecilia_mexicana ENSPMEG00000000551
poecilia_latipinna ENSPLAG00000023588
poecilia_reticulata ENSPREG00000018040
poecilia_mexicana ENSPMEG00000014910
poecilia_latipinna ENSPLAG00000021814
gambusia_affinis ENSGAFG00000009104
gambusia_affinis ENSGAFG00000009074
xiphophorus_maculatus ENSXMAG00000024027
xiphophorus_couchianus ENSXCOG00000015712
kryptolebias_marmoratus ENSKMAG00000015233
oryzias_latipes ENSORLG00000004139
oryzias_latipes ENSORLG00020022591
oryzias_latipes_asm223469v1 ENSORLG00015009381
oryzias_melastigma ENSOMEG00000000560
hippocampus_comes ENSHCOG00000021215
labrus_bergylta ENSLBEG00000017638
cynoglossus_semilaevis ENSCSEG00000010239
takifugu_rubripes ENSTRUG00000014089
takifugu_rubripes ENSTRUG00000018467
tetraodon_nigroviridis ENSTNIG00000005473
tetraodon_nigroviridis ENSTNIG00000006463
tetraodon_nigroviridis ENSTNIG00000000488
tetraodon_nigroviridis ENSTNIG00000005157
tetraodon_nigroviridis ENSTNIG00000000524
periophthalmus_magnuspinnatus ENSPMGG00000011171
gadus_morhua ENSGMOG00000007666
periophthalmus_magnuspinnatus ENSPMGG00000011168
esox_lucius ENSELUG00000022625
pygocentrus_nattereri ENSPNAG00000001483
astyanax_mexicanus ENSAMXG00000035370
ictalurus_punctatus ENSIPUG00000016544
danio_rerio ENSDARG00000099154
danio_rerio ENSDARG00000028087
danio_rerio ENSDARG00000089924
paramormyrops_kingsleyae ENSPKIG00000023260
scleropages_formosus ENSSFOG00015017435
lepisosteus_oculatus ENSLOCG00000007931
meleagris_gallopavo ENSMGAG00000005346
coturnix_japonica ENSCJPG00005000690
gallus_gallus ENSGALG00000004725
anas_platyrhynchos_platyrhynchos ENSAPLG00000008579
taeniopygia_guttata ENSTGUG00000006552
lonchura_striata_domestica ENSLSDG00000004943
serinus_canaria ENSSCAG00000008272
junco_hyemalis ENSJHYG00000010478
zonotrichia_albicollis ENSZALG00000002813
ficedula_albicollis ENSFALG00000008993
parus_major ENSPMJG00000004701
cyanistes_caeruleus ENSCCEG00000007046
lepidothrix_coronata ENSLCOG00000010650
manacus_vitellinus ENSMVIG00005016977
melopsittacus_undulatus ENSMUNG00000015980
calidris_pugnax ENSCPUG00000006861
calidris_pygmaea ENSCPGG00000018652
apteryx_haastii ENSAHAG00000017061
apteryx_owenii ENSAOWG00000018956
apteryx_rowi ENSARWG00000008633
dromaius_novaehollandiae ENSDNVG00000014817
nothoprocta_perdicaria ENSNPEG00000004972
crocodylus_porosus ENSCPRG00005014194
gopherus_agassizii ENSGAGG00000004994
