microcebus_murinus ENSMICG00000043153
prolemur_simus ENSPSMG00000001292
otolemur_garnettii ENSOGAG00000000953
pan_troglodytes ENSPTRG00000047203
pan_paniscus ENSPPAG00000034167
homo_sapiens ENSG00000162078
gorilla_gorilla ENSGGOG00000007667
pongo_abelii ENSPPYG00000007016
nomascus_leucogenys ENSNLEG00000009449
macaca_nemestrina ENSMNEG00000007269
macaca_fascicularis ENSMFAG00000037953
macaca_mulatta ENSMMUG00000016184
mandrillus_leucophaeus ENSMLEG00000007657
cercocebus_atys ENSCATG00000027872
theropithecus_gelada ENSTGEG00000026124
papio_anubis ENSPANG00000033315
rhinopithecus_roxellana ENSRROG00000033048
rhinopithecus_bieti ENSRBIG00000016128
colobus_angolensis_palliatus ENSCANG00000042104
piliocolobus_tephrosceles ENSPTEG00000031415
cebus_capucinus ENSCCAG00000011182
saimiri_boliviensis_boliviensis ENSSBOG00000026570
callithrix_jacchus ENSCJAG00000015315
urocitellus_parryii ENSUPAG00010018153
spermophilus_dauricus ENSSDAG00000009454
chinchilla_lanigera ENSCLAG00000012312
oryctolagus_cuniculus ENSOCUG00000026308
ochotona_princeps ENSOPRG00000015184
mus_musculus ENSMUSG00000024125
mus_spicilegus ENSMSIG00000004110
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022077
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021167
mus_pahari MGP_PahariEiJ_G0023484
oryctolagus_cuniculus ENSOCUG00000024023
equus_asinus_asinus ENSEASG00005005800
equus_caballus ENSECAG00000039909
equus_caballus ENSECAG00000035748
equus_asinus_asinus ENSEASG00005005799
equus_caballus ENSECAG00000037036
equus_asinus_asinus ENSEASG00005011860
equus_caballus ENSECAG00000016655
equus_caballus ENSECAG00000039786
equus_asinus_asinus ENSEASG00005005792
equus_asinus_asinus ENSEASG00005005795
equus_caballus ENSECAG00000035907
pteropus_vampyrus ENSPVAG00000000486
bos_taurus ENSBTAG00000047368
bos_mutus ENSBMUG00000014776
bison_bison_bison ENSBBBG00000000443
ovis_aries ENSOARG00000000054
ovis_aries ENSOARG00000000225
bison_bison_bison ENSBBBG00000000433
bos_mutus ENSBMUG00000014790
bos_taurus ENSBTAG00000034372
capra_hircus ENSCHIG00000020784
ovis_aries ENSOARG00000000235
vicugna_pacos ENSVPAG00000008106
tursiops_truncatus ENSTTRG00000015491
sus_scrofa ENSSSCG00000033610
sus_scrofa ENSSSCG00000037112
ursus_maritimus ENSUMAG00000000666
ursus_americanus ENSUAMG00000013072
ailuropoda_melanoleuca ENSAMEG00000018013
neovison_vison ENSNVIG00000023137
canis_lupus_familiaris ENSCAFG00000019354
canis_lupus_dingo ENSCAFG00020026011
vulpes_vulpes ENSVVUG00000008998
procavia_capensis ENSPCAG00000013810
echinops_telfairi ENSETEG00000009590
dasypus_novemcinctus ENSDNOG00000043793
