mola_mola ENSMMOG00000021650
takifugu_rubripes ENSTRUG00000021582
labrus_bergylta ENSLBEG00000012697
stegastes_partitus ENSSPAG00000013047
amphiprion_percula ENSAPEG00000004013
xiphophorus_maculatus ENSXMAG00000021041
xiphophorus_couchianus ENSXCOG00000012046
gambusia_affinis ENSGAFG00000016424
poecilia_formosa ENSPFOG00000023778
poecilia_mexicana ENSPMEG00000017321
poecilia_latipinna ENSPLAG00000021098
poecilia_reticulata ENSPREG00000000249
kryptolebias_marmoratus ENSKMAG00000017382
maylandia_zebra ENSMZEG00005002077
neolamprologus_brichardi ENSNBRG00000004091
haplochromis_burtoni ENSHBUG00000002412
amphilophus_citrinellus ENSACIG00000021483
mastacembelus_armatus ENSMAMG00000016009
hippocampus_comes ENSHCOG00000019730
