loxodonta_africana ENSLAFG00000001578
procavia_capensis ENSPCAG00000016179
echinops_telfairi ENSETEG00000020305
phascolarctos_cinereus ENSPCIG00000016029
notamacropus_eugenii ENSMEUG00000002137
sarcophilus_harrisii ENSSHAG00000017743
monodelphis_domestica ENSMODG00000001852
monodelphis_domestica ENSMODG00000028145
monodelphis_domestica ENSMODG00000001054
heterocephalus_glaber_female ENSHGLG00000005665
heterocephalus_glaber_male ENSHGLG00100017534
fukomys_damarensis ENSFDAG00000007757
cavia_aperea ENSCAPG00000012736
cavia_porcellus ENSCPOG00000003710
chinchilla_lanigera ENSCLAG00000001762
dipodomys_ordii ENSDORG00000007731
castor_canadensis ENSCCNG00000005083
mus_musculus ENSMUSG00000029687
mus_spicilegus ENSMSIG00000009759
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029329
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028325
mus_pahari MGP_PahariEiJ_G0022082
rattus_norvegicus ENSRNOG00000006048
meriones_unguiculatus ENSMUGG00000026702
microtus_ochrogaster ENSMOCG00000019854
microtus_ochrogaster ENSMOCG00000000823
peromyscus_maniculatus_bairdii ENSPEMG00000017676
cricetulus_griseus_chok1gshd ENSCGRG00001010172
cricetulus_griseus_crigri ENSCGRG00000011414
cricetulus_griseus_crigri-picr ENSCGRG00015024408
mesocricetus_auratus ENSMAUG00000008772
nannospalax_galili ENSNGAG00000006245
jaculus_jaculus ENSJJAG00000014722
urocitellus_parryii ENSUPAG00010020450
ictidomys_tridecemlineatus ENSSTOG00000005968
spermophilus_dauricus ENSSDAG00000014651
marmota_marmota_marmota ENSMMMG00000007126
oryctolagus_cuniculus ENSOCUG00000001676
ochotona_princeps ENSOPRG00000007788
tupaia_belangeri ENSTBEG00000015636
colobus_angolensis_palliatus ENSCANG00000032168
rhinopithecus_roxellana ENSRROG00000034033
theropithecus_gelada ENSTGEG00000002158
mandrillus_leucophaeus ENSMLEG00000041853
papio_anubis ENSPANG00000018691
macaca_mulatta ENSMMUG00000013494
macaca_nemestrina ENSMNEG00000042301
macaca_fascicularis ENSMFAG00000040192
cercocebus_atys ENSCATG00000035682
chlorocebus_sabaeus ENSCSAG00000007037
pan_troglodytes ENSPTRG00000019837
pan_paniscus ENSPPAG00000031380
pan_troglodytes ENSPTRG00000043336
