neovison_vison ENSNVIG00000020176
ursus_maritimus ENSUMAG00000004260
canis_lupus_dingo ENSCAFG00020006139
vulpes_vulpes ENSVVUG00000013239
panthera_tigris_altaica ENSPTIG00000013900
panthera_pardus ENSPPRG00000007908
felis_catus ENSFCAG00000032434
equus_caballus ENSECAG00000028550
equus_asinus_asinus ENSEASG00005014092
prolemur_simus ENSPSMG00000017969
microcebus_murinus ENSMICG00000049111
colobus_angolensis_palliatus ENSCANG00000033956
nomascus_leucogenys ENSNLEG00000033430
mandrillus_leucophaeus ENSMLEG00000041708
cercocebus_atys ENSCATG00000041517
macaca_mulatta ENSMMUG00000045867
macaca_nemestrina ENSMNEG00000037200
macaca_fascicularis ENSMFAG00000002146
papio_anubis ENSPANG00000034715
rhinopithecus_bieti ENSRBIG00000040883
rhinopithecus_roxellana ENSRROG00000044253
pan_paniscus ENSPPAG00000018195
pan_troglodytes ENSPTRG00000042710
gorilla_gorilla ENSGGOG00000039901
theropithecus_gelada ENSTGEG00000022867
saimiri_boliviensis_boliviensis ENSSBOG00000027939
cebus_capucinus ENSCCAG00000026259
urocitellus_parryii ENSUPAG00010001535
spermophilus_dauricus ENSSDAG00000009188
marmota_marmota_marmota ENSMMMG00000009050
