prolemur_simus ENSPSMG00000005759
microcebus_murinus ENSMICG00000005096
otolemur_garnettii ENSOGAG00000009646
carlito_syrichta ENSTSYG00000009251
callithrix_jacchus ENSCJAG00000013536
saimiri_boliviensis_boliviensis ENSSBOG00000028284
cebus_capucinus ENSCCAG00000031128
aotus_nancymaae ENSANAG00000030685
mandrillus_leucophaeus ENSMLEG00000030329
macaca_nemestrina ENSMNEG00000032208
cercocebus_atys ENSCATG00000038491
rhinopithecus_bieti ENSRBIG00000029530
colobus_angolensis_palliatus ENSCANG00000028169
pan_troglodytes ENSPTRG00000019769
pan_paniscus ENSPPAG00000036004
pan_troglodytes ENSPTRG00000051563
homo_sapiens ENSG00000157764
gorilla_gorilla ENSGGOG00000017089
pongo_abelii ENSPPYG00000018061
nomascus_leucogenys ENSNLEG00000002139
colobus_angolensis_palliatus ENSCANG00000041715
rhinopithecus_roxellana ENSRROG00000010145
piliocolobus_tephrosceles ENSPTEG00000035492
macaca_fascicularis ENSMFAG00000001069
macaca_mulatta ENSMMUG00000042793
papio_anubis ENSPANG00000004965
macaca_nemestrina ENSMNEG00000024672
theropithecus_gelada ENSTGEG00000027193
cercocebus_atys ENSCATG00000034341
mandrillus_leucophaeus ENSMLEG00000041508
chlorocebus_sabaeus ENSCSAG00000008218
rhinopithecus_bieti ENSRBIG00000034807
rhinopithecus_roxellana ENSRROG00000030042
theropithecus_gelada ENSTGEG00000001884
pan_troglodytes ENSPTRG00000045250
pan_paniscus ENSPPAG00000036584
gorilla_gorilla ENSGGOG00000040631
castor_canadensis ENSCCNG00000006603
mus_spicilegus ENSMSIG00000003138
mus_musculus ENSMUSG00000002413
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029250
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028251
mus_pahari MGP_PahariEiJ_G0022009
rattus_norvegicus ENSRNOG00000010957
meriones_unguiculatus ENSMUGG00000013193
peromyscus_maniculatus_bairdii ENSPEMG00000001337
microtus_ochrogaster ENSMOCG00000023027
cricetulus_griseus_crigri ENSCGRG00000009910
cricetulus_griseus_crigri-picr ENSCGRG00015027804
cricetulus_griseus_chok1gshd ENSCGRG00001021906
mesocricetus_auratus ENSMAUG00000016066
nannospalax_galili ENSNGAG00000014000
castor_canadensis ENSCCNG00000013120
castor_canadensis ENSCCNG00000013170
dipodomys_ordii ENSDORG00000009732
chinchilla_lanigera ENSCLAG00000001297
