choloepus_hoffmanni ENSCHOG00000013303
dasypus_novemcinctus ENSDNOG00000004429
loxodonta_africana ENSLAFG00000004668
procavia_capensis ENSPCAG00000014972
echinops_telfairi ENSETEG00000015642
sorex_araneus ENSSARG00000008074
erinaceus_europaeus ENSEEUG00000008725
pteropus_vampyrus ENSPVAG00000017106
myotis_lucifugus ENSMLUG00000013138
mustela_putorius_furo ENSMPUG00000000731
neovison_vison ENSNVIG00000004996
canis_lupus_familiaris ENSCAFG00000011859
canis_lupus_dingo ENSCAFG00020002326
vulpes_vulpes ENSVVUG00000016713
ursus_maritimus ENSUMAG00000013621
ursus_americanus ENSUAMG00000003263
ailuropoda_melanoleuca ENSAMEG00000010875
panthera_tigris_altaica ENSPTIG00000018815
panthera_pardus ENSPPRG00000015147
felis_catus ENSFCAG00000010648
equus_caballus ENSECAG00000024519
equus_asinus_asinus ENSEASG00005022875
bos_mutus ENSBMUG00000003555
bos_taurus ENSBTAG00000010048
bison_bison_bison ENSBBBG00000018070
capra_hircus ENSCHIG00000020759
ovis_aries ENSOARG00000004104
sus_scrofa ENSSSCG00000015924
tursiops_truncatus ENSTTRG00000006112
vicugna_pacos ENSVPAG00000007154
chinchilla_lanigera ENSCLAG00000003457
octodon_degus ENSODEG00000010679
cavia_aperea ENSCAPG00000008853
cavia_porcellus ENSCPOG00000005926
heterocephalus_glaber_male ENSHGLG00100001708
heterocephalus_glaber_female ENSHGLG00000004724
fukomys_damarensis ENSFDAG00000019698
spermophilus_dauricus ENSSDAG00000013273
urocitellus_parryii ENSUPAG00010009355
ictidomys_tridecemlineatus ENSSTOG00000007433
marmota_marmota_marmota ENSMMMG00000023459
mus_spicilegus ENSMSIG00000016245
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024539
mus_musculus ENSMUSG00000005233
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023617
mus_pahari MGP_PahariEiJ_G0025069
rattus_norvegicus ENSRNOG00000006731
meriones_unguiculatus ENSMUGG00000006404
cricetulus_griseus_chok1gshd ENSCGRG00001017739
cricetulus_griseus_crigri-picr ENSCGRG00015004945
cricetulus_griseus_crigri ENSCGRG00000005311
peromyscus_maniculatus_bairdii ENSPEMG00000022334
microtus_ochrogaster ENSMOCG00000011678
nannospalax_galili ENSNGAG00000019235
jaculus_jaculus ENSJJAG00000020523
jaculus_jaculus ENSJJAG00000018813
castor_canadensis ENSCCNG00000022130
dipodomys_ordii ENSDORG00000005398
oryctolagus_cuniculus ENSOCUG00000006436
oryctolagus_cuniculus ENSOCUG00000005038
oryctolagus_cuniculus ENSOCUG00000001366
ochotona_princeps ENSOPRG00000013274
tupaia_belangeri ENSTBEG00000012559
papio_anubis ENSPANG00000021924
theropithecus_gelada ENSTGEG00000015648
mandrillus_leucophaeus ENSMLEG00000038353
cercocebus_atys ENSCATG00000030113
chlorocebus_sabaeus ENSCSAG00000015319
macaca_fascicularis ENSMFAG00000035541
macaca_nemestrina ENSMNEG00000030967
piliocolobus_tephrosceles ENSPTEG00000035780
colobus_angolensis_palliatus ENSCANG00000038176
rhinopithecus_roxellana ENSRROG00000033928
rhinopithecus_bieti ENSRBIG00000036298
pan_paniscus ENSPPAG00000038657
pan_troglodytes ENSPTRG00000012605
homo_sapiens ENSG00000152253
gorilla_gorilla ENSGGOG00000026432
pongo_abelii ENSPPYG00000012906
nomascus_leucogenys ENSNLEG00000004657
cebus_capucinus ENSCCAG00000021691
callithrix_jacchus ENSCJAG00000006242
saimiri_boliviensis_boliviensis ENSSBOG00000027130
aotus_nancymaae ENSANAG00000017892
carlito_syrichta ENSTSYG00000008593
propithecus_coquereli ENSPCOG00000009341
microcebus_murinus ENSMICG00000017327
prolemur_simus ENSPSMG00000022576
otolemur_garnettii ENSOGAG00000007897
phascolarctos_cinereus ENSPCIG00000028444
sarcophilus_harrisii ENSSHAG00000016501
monodelphis_domestica ENSMODG00000007753
ornithorhynchus_anatinus ENSOANG00000008501
pogona_vitticeps ENSPVIG00000025176
anolis_carolinensis ENSACAG00000001157
salvator_merianae ENSSMRG00000019003
notechis_scutatus ENSNSUG00000012623
sphenodon_punctatus ENSSPUG00000009250
apteryx_rowi ENSARWG00000001402
apteryx_haastii ENSAHAG00000016740
apteryx_owenii ENSAOWG00000001143
dromaius_novaehollandiae ENSDNVG00000018401
nothoprocta_perdicaria ENSNPEG00000001413
manacus_vitellinus ENSMVIG00005018209
lepidothrix_coronata ENSLCOG00000016392
taeniopygia_guttata ENSTGUG00000007605
taeniopygia_guttata ENSTGUG00000007596
lonchura_striata_domestica ENSLSDG00000013208
serinus_canaria ENSSCAG00000015615
zonotrichia_albicollis ENSZALG00000017173
junco_hyemalis ENSJHYG00000003671
parus_major ENSPMJG00000019108
cyanistes_caeruleus ENSCCEG00000024153
ficedula_albicollis ENSFALG00000000755
melopsittacus_undulatus ENSMUNG00000008481
calidris_pygmaea ENSCPGG00000004314
calidris_pugnax ENSCPUG00000003920
gallus_gallus ENSGALG00000010900
coturnix_japonica ENSCJPG00005019258
meleagris_gallopavo ENSMGAG00000010630
numida_meleagris ENSNMEG00000022591
anser_brachyrhynchus ENSABRG00000023165
anas_platyrhynchos_platyrhynchos ENSAPLG00000011090
crocodylus_porosus ENSCPRG00005015820
gopherus_agassizii ENSGAGG00000019670
chelonoidis_abingdonii ENSCABG00000001810
chrysemys_picta_bellii ENSCPBG00000007040
pelodiscus_sinensis ENSPSIG00000014487
xenopus_tropicalis ENSXETG00000010306
latimeria_chalumnae ENSLACG00000003448
scleropages_formosus ENSSFOG00015022448
paramormyrops_kingsleyae ENSPKIG00000000518
mastacembelus_armatus ENSMAMG00000003862
cynoglossus_semilaevis ENSCSEG00000012305
xiphophorus_maculatus ENSXMAG00000011853
