xenopus_tropicalis ENSXETG00000030509
monodelphis_domestica ENSMODG00000027815
ornithorhynchus_anatinus ENSOANG00000013679
fukomys_damarensis ENSFDAG00000000893
sarcophilus_harrisii ENSSHAG00000011109
monodelphis_domestica ENSMODG00000015358
ornithorhynchus_anatinus ENSOANG00000000356
sarcophilus_harrisii ENSSHAG00000010927
ailuropoda_melanoleuca ENSAMEG00000019841
mustela_putorius_furo ENSMPUG00000018796
sus_scrofa ENSSSCG00000012665
loxodonta_africana ENSLAFG00000032085
equus_asinus_asinus ENSEASG00005014385
canis_lupus_familiaris ENSCAFG00000018811
ailuropoda_melanoleuca ENSAMEG00000014762
felis_catus ENSFCAG00000027458
equus_caballus ENSECAG00000004885
sus_scrofa ENSSSCG00000012664
chinchilla_lanigera ENSCLAG00000017566
cavia_porcellus ENSCPOG00000022505
heterocephalus_glaber_female ENSHGLG00000019864
heterocephalus_glaber_male ENSHGLG00100021305
ictidomys_tridecemlineatus ENSSTOG00000021455
urocitellus_parryii ENSUPAG00010013115
spermophilus_dauricus ENSSDAG00000017874
marmota_marmota_marmota ENSMMMG00000004581
castor_canadensis ENSCCNG00000004705
dipodomys_ordii ENSDORG00000028251
cricetulus_griseus_crigri ENSCGRG00000019914
cricetulus_griseus_crigri-picr ENSCGRG00015012764
cricetulus_griseus_chok1gshd ENSCGRG00001010692
peromyscus_maniculatus_bairdii ENSPEMG00000028222
mus_spicilegus ENSMSIG00000002938
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034214
mus_musculus ENSMUSG00000050504
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033056
mus_pahari MGP_PahariEiJ_G0031601
rattus_norvegicus ENSRNOG00000029322
oryctolagus_cuniculus ENSOCUG00000025565
pelodiscus_sinensis ENSPSIG00000005735
dasypus_novemcinctus ENSDNOG00000001410
loxodonta_africana ENSLAFG00000030080
bison_bison_bison ENSBBBG00000014074
bos_taurus ENSBTAG00000018919
ovis_aries ENSOARG00000012339
capra_hircus ENSCHIG00000022456
sus_scrofa ENSSSCG00000032876
equus_asinus_asinus ENSEASG00005010412
ailuropoda_melanoleuca ENSAMEG00000006502
mustela_putorius_furo ENSMPUG00000000161
prolemur_simus ENSPSMG00000012101
propithecus_coquereli ENSPCOG00000024167
microcebus_murinus ENSMICG00000038048
otolemur_garnettii ENSOGAG00000024751
pan_troglodytes ENSPTRG00000006116
pan_paniscus ENSPPAG00000008987
homo_sapiens ENSG00000169327
gorilla_gorilla ENSGGOG00000004152
pongo_abelii ENSPPYG00000005592
macaca_mulatta ENSMMUG00000006465
theropithecus_gelada ENSTGEG00000015663
piliocolobus_tephrosceles ENSPTEG00000023891
cricetulus_griseus_chok1gshd ENSCGRG00001014408
cricetulus_griseus_crigri-picr ENSCGRG00015003711
cricetulus_griseus_crigri ENSCGRG00000019516
peromyscus_maniculatus_bairdii ENSPEMG00000026100
microtus_ochrogaster ENSMOCG00000012684
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020125
mus_spicilegus ENSMSIG00000021947
mus_musculus ENSMUSG00000044286
mus_pahari MGP_PahariEiJ_G0030255
rattus_norvegicus ENSRNOG00000011615
nannospalax_galili ENSNGAG00000007315
heterocephalus_glaber_male ENSHGLG00100001333
heterocephalus_glaber_female ENSHGLG00000020203
chinchilla_lanigera ENSCLAG00000000791
spermophilus_dauricus ENSSDAG00000002726
ictidomys_tridecemlineatus ENSSTOG00000006385
marmota_marmota_marmota ENSMMMG00000014587
urocitellus_parryii ENSUPAG00010002283
mesocricetus_auratus ENSMAUG00000010581
notamacropus_eugenii ENSMEUG00000005477
loxodonta_africana ENSLAFG00000027630
