anser_brachyrhynchus ENSABRG00000006887
anas_platyrhynchos_platyrhynchos ENSAPLG00000027976
meleagris_gallopavo ENSMGAG00000008325
coturnix_japonica ENSCJPG00005013725
gallus_gallus ENSGALG00000042612
numida_meleagris ENSNMEG00000002730
taeniopygia_guttata ENSTGUG00000009910
lonchura_striata_domestica ENSLSDG00000001401
serinus_canaria ENSSCAG00000014365
cyanistes_caeruleus ENSCCEG00000014320
parus_major ENSPMJG00000000507
junco_hyemalis ENSJHYG00000011544
zonotrichia_albicollis ENSZALG00000006232
ficedula_albicollis ENSFALG00000007727
lepidothrix_coronata ENSLCOG00000000687
manacus_vitellinus ENSMVIG00005002727
calidris_pygmaea ENSCPGG00000018510
calidris_pugnax ENSCPUG00000017081
melopsittacus_undulatus ENSMUNG00000008358
apteryx_owenii ENSAOWG00000017962
apteryx_rowi ENSARWG00000006140
apteryx_haastii ENSAHAG00000003500
dromaius_novaehollandiae ENSDNVG00000002251
nothoprocta_perdicaria ENSNPEG00000007349
crocodylus_porosus ENSCPRG00005011934
chrysemys_picta_bellii ENSCPBG00000016227
chelonoidis_abingdonii ENSCABG00000012543
pogona_vitticeps ENSPVIG00000011858
anolis_carolinensis ENSACAG00000011190
notechis_scutatus ENSNSUG00000006864
salvator_merianae ENSSMRG00000018717
sphenodon_punctatus ENSSPUG00000012282
ornithorhynchus_anatinus ENSOANG00000008651
xenopus_tropicalis ENSXETG00000034206
latimeria_chalumnae ENSLACG00000015238
takifugu_rubripes ENSTRUG00000013042
tetraodon_nigroviridis ENSTNIG00000014295
mola_mola ENSMMOG00000005851
labrus_bergylta ENSLBEG00000016949
scophthalmus_maximus ENSSMAG00000018559
cynoglossus_semilaevis ENSCSEG00000005293
seriola_dumerili ENSSDUG00000022084
seriola_lalandi_dorsalis ENSSLDG00000025419
mastacembelus_armatus ENSMAMG00000004438
monopterus_albus ENSMALG00000021876
anabas_testudineus ENSATEG00000020487
poecilia_formosa ENSPFOG00000012740
poecilia_mexicana ENSPMEG00000003548
poecilia_reticulata ENSPREG00000009853
xiphophorus_maculatus ENSXMAG00000008082
xiphophorus_couchianus ENSXCOG00000004599
gambusia_affinis ENSGAFG00000012206
poecilia_latipinna ENSPLAG00000000275
poecilia_mexicana ENSPMEG00000007637
fundulus_heteroclitus ENSFHEG00000021643
cyprinodon_variegatus ENSCVAG00000018344
oryzias_latipes ENSORLG00000009529
oryzias_latipes ENSORLG00020017962
oryzias_latipes_asm223469v1 ENSORLG00015023074
oryzias_melastigma ENSOMEG00000020083
maylandia_zebra ENSMZEG00005003802
astatotilapia_calliptera ENSACLG00000014965
haplochromis_burtoni ENSHBUG00000016022
pundamilia_nyererei ENSPNYG00000010184
neolamprologus_brichardi ENSNBRG00000004499
oreochromis_niloticus ENSONIG00000010816
amphilophus_citrinellus ENSACIG00000023303
amphiprion_percula ENSAPEG00000002185
amphiprion_ocellaris ENSAOCG00000015577
acanthochromis_polyacanthus ENSAPOG00000018298
stegastes_partitus ENSSPAG00000004525
hippocampus_comes ENSHCOG00000015535
kryptolebias_marmoratus ENSKMAG00000019437
periophthalmus_magnuspinnatus ENSPMGG00000010580
gadus_morhua ENSGMOG00000012918
gasterosteus_aculeatus ENSGACG00000005540
esox_lucius ENSELUG00000015458
pygocentrus_nattereri ENSPNAG00000022983
astyanax_mexicanus ENSAMXG00000011709
ictalurus_punctatus ENSIPUG00000019936
danio_rerio ENSDARG00000102724
paramormyrops_kingsleyae ENSPKIG00000013967
scleropages_formosus ENSSFOG00015018287
scophthalmus_maximus ENSSMAG00000000163
cynoglossus_semilaevis ENSCSEG00000016857
seriola_dumerili ENSSDUG00000008613
seriola_lalandi_dorsalis ENSSLDG00000023752
fundulus_heteroclitus ENSFHEG00000023468
cyprinodon_variegatus ENSCVAG00000004097
poecilia_mexicana ENSPMEG00000017599
poecilia_mexicana ENSPMEG00000019196
poecilia_reticulata ENSPREG00000003224
xiphophorus_maculatus ENSXMAG00000022861
xiphophorus_couchianus ENSXCOG00000014606
kryptolebias_marmoratus ENSKMAG00000012010
oryzias_latipes ENSORLG00000016591
oryzias_latipes_asm223469v1 ENSORLG00015012292
oryzias_latipes ENSORLG00020012371
oryzias_melastigma ENSOMEG00000023795
astatotilapia_calliptera ENSACLG00000023515
maylandia_zebra ENSMZEG00005025437
pundamilia_nyererei ENSPNYG00000011612
haplochromis_burtoni ENSHBUG00000003811
neolamprologus_brichardi ENSNBRG00000014935
oreochromis_niloticus ENSONIG00000009822
amphilophus_citrinellus ENSACIG00000015146
amphiprion_percula ENSAPEG00000006975
amphiprion_ocellaris ENSAOCG00000010424
acanthochromis_polyacanthus ENSAPOG00000021665
stegastes_partitus ENSSPAG00000006000
labrus_bergylta ENSLBEG00000018352
gasterosteus_aculeatus ENSGACG00000013492
takifugu_rubripes ENSTRUG00000007581
tetraodon_nigroviridis ENSTNIG00000004778
mola_mola ENSMMOG00000018904
hippocampus_comes ENSHCOG00000005439
lepisosteus_oculatus ENSLOCG00000008887
ciona_intestinalis ENSCING00000020981
