apteryx_rowi ENSARWG00000011385
apteryx_haastii ENSAHAG00000005629
apteryx_owenii ENSAOWG00000013770
dromaius_novaehollandiae ENSDNVG00000000562
nothoprocta_perdicaria ENSNPEG00000001406
anser_brachyrhynchus ENSABRG00000017686
anas_platyrhynchos_platyrhynchos ENSAPLG00000009688
meleagris_gallopavo ENSMGAG00000016735
meleagris_gallopavo ENSMGAG00000012039
gallus_gallus ENSGALG00000011284
coturnix_japonica ENSCJPG00005014521
numida_meleagris ENSNMEG00000010925
calidris_pygmaea ENSCPGG00000014212
calidris_pugnax ENSCPUG00000015098
melopsittacus_undulatus ENSMUNG00000012285
lepidothrix_coronata ENSLCOG00000003670
manacus_vitellinus ENSMVIG00005006768
parus_major ENSPMJG00000012697
cyanistes_caeruleus ENSCCEG00000005592
taeniopygia_guttata ENSTGUG00000010344
taeniopygia_guttata ENSTGUG00000010330
lonchura_striata_domestica ENSLSDG00000005729
serinus_canaria ENSSCAG00000007607
junco_hyemalis ENSJHYG00000010180
ficedula_albicollis ENSFALG00000001237
zonotrichia_albicollis ENSZALG00000001535
crocodylus_porosus ENSCPRG00005011919
chelonoidis_abingdonii ENSCABG00000011449
gopherus_agassizii ENSGAGG00000022420
chrysemys_picta_bellii ENSCPBG00000022215
pelodiscus_sinensis ENSPSIG00000006127
anolis_carolinensis ENSACAG00000011058
pogona_vitticeps ENSPVIG00000003840
notechis_scutatus ENSNSUG00000003590
salvator_merianae ENSSMRG00000020087
sphenodon_punctatus ENSSPUG00000016104
notamacropus_eugenii ENSMEUG00000003131
sarcophilus_harrisii ENSSHAG00000012908
monodelphis_domestica ENSMODG00000000649
ornithorhynchus_anatinus ENSOANG00000015522
vicugna_pacos ENSVPAG00000011460
sus_scrofa ENSSSCG00000023754
ovis_aries ENSOARG00000011719
capra_hircus ENSCHIG00000026785
bos_taurus ENSBTAG00000009338
bos_mutus ENSBMUG00000009353
bison_bison_bison ENSBBBG00000007250
tursiops_truncatus ENSTTRG00000015047
ailuropoda_melanoleuca ENSAMEG00000011407
ursus_maritimus ENSUMAG00000006650
mustela_putorius_furo ENSMPUG00000000888
neovison_vison ENSNVIG00000011100
canis_lupus_familiaris ENSCAFG00000029530
canis_lupus_dingo ENSCAFG00020017279
equus_asinus_asinus ENSEASG00005007856
equus_caballus ENSECAG00000006937
pteropus_vampyrus ENSPVAG00000011915
erinaceus_europaeus ENSEEUG00000008194
pan_troglodytes ENSPTRG00000000848
pan_paniscus ENSPPAG00000043123
homo_sapiens ENSG00000033122
gorilla_gorilla ENSGGOG00000015111
pongo_abelii ENSPPYG00000001247
nomascus_leucogenys ENSNLEG00000009348
rhinopithecus_bieti ENSRBIG00000041374
rhinopithecus_roxellana ENSRROG00000029920
colobus_angolensis_palliatus ENSCANG00000035568
papio_anubis ENSPANG00000012864
theropithecus_gelada ENSTGEG00000015318
cercocebus_atys ENSCATG00000042304
mandrillus_leucophaeus ENSMLEG00000035747
macaca_fascicularis ENSMFAG00000031304
macaca_mulatta ENSMMUG00000021917
macaca_nemestrina ENSMNEG00000040393
chlorocebus_sabaeus ENSCSAG00000001373
