xiphophorus_maculatus ENSXMAG00000025624
gambusia_affinis ENSGAFG00000001734
fundulus_heteroclitus ENSFHEG00000021578
kryptolebias_marmoratus ENSKMAG00000002595
kryptolebias_marmoratus ENSKMAG00000002604
seriola_lalandi ENSSLDG00000005635
anabas_testudineus ENSATEG00000019690
amphilophus_citrinellus ENSACIG00000005811
amphilophus_citrinellus ENSACIG00000005791
amphilophus_citrinellus ENSACIG00000005823
amphilophus_citrinellus ENSACIG00000005809
amphilophus_citrinellus ENSACIG00000005775
neolamprologus_brichardi ENSNBRG00000017608
haplochromis_burtoni ENSHBUG00000001881
astatotilapia_calliptera ENSACLG00000012050
astatotilapia_calliptera ENSACLG00000012061
maylandia_zebra ENSMZEG00005009311
neolamprologus_brichardi ENSNBRG00000017602
amphilophus_citrinellus ENSACIG00000005782
maylandia_zebra ENSMZEG00005009335
maylandia_zebra ENSMZEG00005009326
haplochromis_burtoni ENSHBUG00000001862
astatotilapia_calliptera ENSACLG00000011999
maylandia_zebra ENSMZEG00005009338
pundamilia_nyererei ENSPNYG00000009376
amphilophus_citrinellus ENSACIG00000005849
kryptolebias_marmoratus ENSKMAG00000002587
seriola_lalandi ENSSLDG00000005611
seriola_dumerili ENSSDUG00000003426
seriola_lalandi ENSSLDG00000005596
seriola_dumerili ENSSDUG00000003421
monopterus_albus ENSMALG00000019351
monopterus_albus ENSMALG00000019341
esox_lucius ENSELUG00000011653
