ficedula_albicollis ENSFALG00000015147
taeniopygia_guttata ENSTGUG00000009743
sarcophilus_harrisii ENSSHAG00000010678
pogona_vitticeps ENSPVIG00000022525
anolis_carolinensis ENSACAG00000026737
salvator_merianae ENSSMRG00000018050
gopherus_agassizii ENSGAGG00000022670
chrysemys_picta ENSCPBG00000013952
xenopus_tropicalis ENSXETG00000007909
latimeria_chalumnae ENSLACG00000012694
astyanax_mexicanus ENSAMXG00000017882
astyanax_mexicanus ENSAMXG00005020824
pygocentrus_nattereri ENSPNAG00000021300
ictalurus_punctatus ENSIPUG00000025069
electrophorus_electricus ENSEEEG00000017127
danio_rerio ENSDARG00000062402
clupea_harengus ENSCHAG00000010129
hucho_hucho ENSHHUG00000050623
esox_lucius ENSELUG00000002969
hippocampus_comes ENSHCOG00000003404
tetraodon_nigroviridis ENSTNIG00000002411
periophthalmus_magnuspinnatus ENSPMGG00000001304
gadus_morhua ENSGMOG00000017479
monopterus_albus ENSMALG00000019594
mastacembelus_armatus ENSMAMG00000016024
anabas_testudineus ENSATEG00000005029
cottoperca_gobio ENSCGOG00000020929
gasterosteus_aculeatus ENSGACG00000003138
larimichthys_crocea ENSLCRG00005000876
mola_mola ENSMMOG00000007072
seriola_dumerili ENSSDUG00000001589
seriola_lalandi ENSSLDG00000014552
lates_calcarifer ENSLCAG00010008458
scophthalmus_maximus ENSSMAG00000015131
cynoglossus_semilaevis ENSCSEG00000001512
tetraodon_nigroviridis ENSTNIG00000002896
poecilia_latipinna ENSPLAG00000016068
poecilia_reticulata ENSPREG00000004840
xiphophorus_maculatus ENSXMAG00000013988
xiphophorus_couchianus ENSXCOG00000007279
cyprinodon_variegatus ENSCVAG00000012628
fundulus_heteroclitus ENSFHEG00000022380
kryptolebias_marmoratus ENSKMAG00000021141
oryzias_latipes ENSORLG00015002093
oryzias_latipes ENSORLG00020000107
oryzias_latipes ENSORLG00000003500
oryzias_melastigma ENSOMEG00000006926
amphiprion_ocellaris ENSAOCG00000004067
amphiprion_percula ENSAPEG00000003534
acanthochromis_polyacanthus ENSAPOG00000022631
stegastes_partitus ENSSPAG00000011417
astatotilapia_calliptera ENSACLG00000020649
maylandia_zebra ENSMZEG00005023617
maylandia_zebra ENSMZEG00005024892
pundamilia_nyererei ENSPNYG00000014113
haplochromis_burtoni ENSHBUG00000008553
neolamprologus_brichardi ENSNBRG00000008129
oreochromis_niloticus ENSONIG00000004629
amphilophus_citrinellus ENSACIG00000005179
scleropages_formosus ENSSFOG00015018247
paramormyrops_kingsleyae ENSPKIG00000002942
lepisosteus_oculatus ENSLOCG00000009896
erpetoichthys_calabaricus ENSECRG00000009851
callorhinchus_milii ENSCMIG00000019432
