neovison_vison ENSNVIG00000011365
panthera_pardus ENSPPRG00000004124
bison_bison ENSBBBG00000010222
bos_mutus ENSBMUG00000019636
gorilla_gorilla ENSGGOG00000016882
homo_sapiens ENSG00000171401
pan_troglodytes ENSPTRG00000009166
pan_paniscus ENSPPAG00000010206
theropithecus_gelada ENSTGEG00000008236
piliocolobus_tephrosceles ENSPTEG00000030296
aotus_nancymaae ENSANAG00000020916
callithrix_jacchus ENSCJAG00000002399
carlito_syrichta ENSTSYG00000036392
prolemur_simus ENSPSMG00000014239
propithecus_coquereli ENSPCOG00000015381
microcebus_murinus ENSMICG00000012884
sarcophilus_harrisii ENSSHAG00000004067
vombatus_ursinus ENSVURG00010022121
taeniopygia_guttata ENSTGUG00000002384
meleagris_gallopavo ENSMGAG00000016949
xenopus_tropicalis ENSXETG00000002879
xenopus_tropicalis ENSXETG00000002908
parus_major ENSPMJG00000000913
cyanistes_caeruleus ENSCCEG00000021697
melopsittacus_undulatus ENSMUNG00000001524
numida_meleagris ENSNMEG00000007182
coturnix_japonica ENSCJPG00005004597
dromaius_novaehollandiae ENSDNVG00000005659
lepisosteus_oculatus ENSLOCG00000007055
