callorhinchus_milii ENSCMIG00000005808
petromyzon_marinus ENSPMAG00000007377
scleropages_formosus ENSSFOG00015017505
scleropages_formosus ENSSFOG00015017363
paramormyrops_kingsleyae ENSPKIG00000009701
larimichthys_crocea ENSLCRG00005001428
mola_mola ENSMMOG00000005605
tetraodon_nigroviridis ENSTNIG00000008715
takifugu_rubripes ENSTRUG00000004452
cottoperca_gobio ENSCGOG00000022486
gasterosteus_aculeatus ENSGACG00000001687
labrus_bergylta ENSLBEG00000005985
seriola_dumerili ENSSDUG00000003701
seriola_lalandi ENSSLDG00000002250
lates_calcarifer ENSLCAG00010027765
scophthalmus_maximus ENSSMAG00000003033
cynoglossus_semilaevis ENSCSEG00000013698
mastacembelus_armatus ENSMAMG00000014237
monopterus_albus ENSMALG00000009935
anabas_testudineus ENSATEG00000021875
betta_splendens ENSBSLG00000026255
amphiprion_ocellaris ENSAOCG00000016163
amphiprion_percula ENSAPEG00000005308
acanthochromis_polyacanthus ENSAPOG00000013127
stegastes_partitus ENSSPAG00000015825
parambassis_ranga ENSPRNG00000025051
amphilophus_citrinellus ENSACIG00000022943
amphilophus_citrinellus ENSACIG00000022869
haplochromis_burtoni ENSHBUG00000001508
astatotilapia_calliptera ENSACLG00000011033
maylandia_zebra ENSMZEG00005023028
maylandia_zebra ENSMZEG00005000372
neolamprologus_brichardi ENSNBRG00000013452
pundamilia_nyererei ENSPNYG00000007135
oreochromis_niloticus ENSONIG00000003729
poecilia_formosa ENSPFOG00000006738
poecilia_latipinna ENSPLAG00000021252
poecilia_mexicana ENSPMEG00000016494
poecilia_reticulata ENSPREG00000005875
xiphophorus_maculatus ENSXMAG00000011910
xiphophorus_maculatus ENSXMAG00000024960
fundulus_heteroclitus ENSFHEG00000019468
cyprinodon_variegatus ENSCVAG00000013513
oryzias_latipes ENSORLG00000004608
oryzias_latipes ENSORLG00015004820
oryzias_latipes ENSORLG00020008419
oryzias_melastigma ENSOMEG00000020718
gouania_willdenowi ENSGWIG00000021038
fundulus_heteroclitus ENSFHEG00000019680
hippocampus_comes ENSHCOG00000017630
periophthalmus_magnuspinnatus ENSPMGG00000020774
