junco_hyemalis ENSJHYG00000003376
parus_major ENSPMJG00000007428
crocodylus_porosus ENSCPRG00005003706
chinchilla_lanigera ENSCLAG00000009676
octodon_degus ENSODEG00000003229
marmota_marmota_marmota ENSMMMG00000016183
cricetulus_griseus_crigri ENSCGRG00000006487
mesocricetus_auratus ENSMAUG00000003523
microtus_ochrogaster ENSMOCG00000018191
nannospalax_galili ENSNGAG00000023820
rhinopithecus_bieti ENSRBIG00000029759
piliocolobus_tephrosceles ENSPTEG00000015927
aotus_nancymaae ENSANAG00000036324
saimiri_boliviensis_boliviensis ENSSBOG00000026437
carlito_syrichta ENSTSYG00000037130
ursus_maritimus ENSUMAG00000017554
ailuropoda_melanoleuca ENSAMEG00000000348
vulpes_vulpes ENSVVUG00000013156
mustela_putorius_furo ENSMPUG00000015163
panthera_tigris_altaica ENSPTIG00000021083
bison_bison_bison ENSBBBG00000001561
bos_mutus ENSBMUG00000025558
ovis_aries ENSOARG00000000095
pan_troglodytes ENSPTRG00000047501
pan_paniscus ENSPPAG00000036729
gorilla_gorilla ENSGGOG00000041637
pan_paniscus ENSPPAG00000037498
nomascus_leucogenys ENSNLEG00000003142
microtus_ochrogaster ENSMOCG00000004921
neovison_vison ENSNVIG00000000651
erinaceus_europaeus ENSEEUG00000002701
sorex_araneus ENSSARG00000004448
sus_scrofa ENSSSCG00000036199
rhinopithecus_roxellana ENSRROG00000042796
tupaia_belangeri ENSTBEG00000009320
choloepus_hoffmanni ENSCHOG00000008178
echinops_telfairi ENSETEG00000002793
phascolarctos_cinereus ENSPCIG00000001930
propithecus_coquereli ENSPCOG00000013197
microcebus_murinus ENSMICG00000011830
otolemur_garnettii ENSOGAG00000033369
fukomys_damarensis ENSFDAG00000018480
otolemur_garnettii ENSOGAG00000025522
cebus_capucinus ENSCCAG00000037733
heterocephalus_glaber_female ENSHGLG00000007713
heterocephalus_glaber_male ENSHGLG00100007448
tursiops_truncatus ENSTTRG00000004689
macaca_nemestrina ENSMNEG00000009340
mandrillus_leucophaeus ENSMLEG00000027792
theropithecus_gelada ENSTGEG00000004123
colobus_angolensis_palliatus ENSCANG00000021524
nomascus_leucogenys ENSNLEG00000034666
propithecus_coquereli ENSPCOG00000020234
gorilla_gorilla ENSGGOG00000006785
heterocephalus_glaber_male ENSHGLG00100000417
heterocephalus_glaber_female ENSHGLG00000003042
cavia_aperea ENSCAPG00000013098
peromyscus_maniculatus_bairdii ENSPEMG00000026512
cricetulus_griseus_crigri ENSCGRG00000005826
cricetulus_griseus_crigri-picr ENSCGRG00015000515
cavia_porcellus ENSCPOG00000012917
spermophilus_dauricus ENSSDAG00000018751
macaca_fascicularis ENSMFAG00000004725
macaca_mulatta ENSMMUG00000047411
macaca_nemestrina ENSMNEG00000010564
bos_mutus ENSBMUG00000012418
bos_taurus ENSBTAG00000052977
bison_bison_bison ENSBBBG00000016388
echinops_telfairi ENSETEG00000019213
pan_troglodytes ENSPTRG00000045319
pan_paniscus ENSPPAG00000037955
gorilla_gorilla ENSGGOG00000039851
nomascus_leucogenys ENSNLEG00000030011
macaca_fascicularis ENSMFAG00000034213
cercocebus_atys ENSCATG00000045341
macaca_mulatta ENSMMUG00000041053
papio_anubis ENSPANG00000030537
mandrillus_leucophaeus ENSMLEG00000041649
rhinopithecus_bieti ENSRBIG00000027660
rhinopithecus_roxellana ENSRROG00000044781
loxodonta_africana ENSLAFG00000007939
dasypus_novemcinctus ENSDNOG00000006598
oryctolagus_cuniculus ENSOCUG00000004354
oryctolagus_cuniculus ENSOCUG00000023935
ochotona_princeps ENSOPRG00000009667
cricetulus_griseus_chok1gshd ENSCGRG00001022067
cricetulus_griseus_crigri-picr ENSCGRG00015027476
meriones_unguiculatus ENSMUGG00000022160
aotus_nancymaae ENSANAG00000027730
otolemur_garnettii ENSOGAG00000007921
ictidomys_tridecemlineatus ENSSTOG00000016395
vicugna_pacos ENSVPAG00000003865
myotis_lucifugus ENSMLUG00000030069
cebus_capucinus ENSCCAG00000031444
saimiri_boliviensis_boliviensis ENSSBOG00000021975
callithrix_jacchus ENSCJAG00000045282
aotus_nancymaae ENSANAG00000019222
cebus_capucinus ENSCCAG00000027395
mandrillus_leucophaeus ENSMLEG00000043225
papio_anubis ENSPANG00000032575
cercocebus_atys ENSCATG00000044984
macaca_nemestrina ENSMNEG00000007852
rhinopithecus_roxellana ENSRROG00000028723
rhinopithecus_bieti ENSRBIG00000000042
mus_spicilegus ENSMSIG00000026304
callithrix_jacchus ENSCJAG00000015833
saimiri_boliviensis_boliviensis ENSSBOG00000022216
aotus_nancymaae ENSANAG00000033352
pteropus_vampyrus ENSPVAG00000016640
peromyscus_maniculatus_bairdii ENSPEMG00000025530
castor_canadensis ENSCCNG00000023184
cebus_capucinus ENSCCAG00000031750
saimiri_boliviensis_boliviensis ENSSBOG00000020745
aotus_nancymaae ENSANAG00000035841
theropithecus_gelada ENSTGEG00000004287
homo_sapiens ENSG00000151846
pan_troglodytes ENSPTRG00000022593
gorilla_gorilla ENSGGOG00000013146
pongo_abelii ENSPPYG00000005219
nomascus_leucogenys ENSNLEG00000018338
theropithecus_gelada ENSTGEG00000019214
papio_anubis ENSPANG00000032213
cercocebus_atys ENSCATG00000029313
mandrillus_leucophaeus ENSMLEG00000042214
macaca_nemestrina ENSMNEG00000042936
macaca_fascicularis ENSMFAG00000016858
rhinopithecus_roxellana ENSRROG00000036871
rhinopithecus_bieti ENSRBIG00000034396
colobus_angolensis_palliatus ENSCANG00000041712
cebus_capucinus ENSCCAG00000037208
saimiri_boliviensis_boliviensis ENSSBOG00000023677
cebus_capucinus ENSCCAG00000028512
aotus_nancymaae ENSANAG00000026678
otolemur_garnettii ENSOGAG00000033115
cricetulus_griseus_crigri-picr ENSCGRG00015025952
mesocricetus_auratus ENSMAUG00000017991
peromyscus_maniculatus_bairdii ENSPEMG00000013149
microtus_ochrogaster ENSMOCG00000001354
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023126
