heterocephalus_glaber_male ENSHGLG00100001359
heterocephalus_glaber_female ENSHGLG00000004638
fukomys_damarensis ENSFDAG00000011354
chinchilla_lanigera ENSCLAG00000000671
octodon_degus ENSODEG00000000578
cavia_porcellus ENSCPOG00000031716
cavia_aperea ENSCAPG00000005999
urocitellus_parryii ENSUPAG00010002277
ictidomys_tridecemlineatus ENSSTOG00000022112
spermophilus_dauricus ENSSDAG00000002735
marmota_marmota_marmota ENSMMMG00000014590
dipodomys_ordii ENSDORG00000029819
castor_canadensis ENSCCNG00000005667
peromyscus_maniculatus_bairdii ENSPEMG00000023613
microtus_ochrogaster ENSMOCG00000001720
cricetulus_griseus_crigri-picr ENSCGRG00015003683
cricetulus_griseus_crigri ENSCGRG00000008250
cricetulus_griseus_chok1gshd ENSCGRG00001020106
mesocricetus_auratus ENSMAUG00000019113
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020124
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019233
mus_spicilegus ENSMSIG00000021992
mus_musculus ENSMUSG00000072571
mus_pahari MGP_PahariEiJ_G0030254
rattus_norvegicus ENSRNOG00000039489
meriones_unguiculatus ENSMUGG00000017698
nannospalax_galili ENSNGAG00000013513
jaculus_jaculus ENSJJAG00000014038
oryctolagus_cuniculus ENSOCUG00000026171
prolemur_simus ENSPSMG00000012107
propithecus_coquereli ENSPCOG00000017428
microcebus_murinus ENSMICG00000027606
otolemur_garnettii ENSOGAG00000029145
colobus_angolensis_palliatus ENSCANG00000037175
piliocolobus_tephrosceles ENSPTEG00000023958
rhinopithecus_bieti ENSRBIG00000044892
rhinopithecus_roxellana ENSRROG00000030331
theropithecus_gelada ENSTGEG00000015656
papio_anubis ENSPANG00000000650
cercocebus_atys ENSCATG00000030179
mandrillus_leucophaeus ENSMLEG00000041524
macaca_fascicularis ENSMFAG00000000773
macaca_nemestrina ENSMNEG00000040431
macaca_mulatta ENSMMUG00000029446
chlorocebus_sabaeus ENSCSAG00000016592
pan_troglodytes ENSPTRG00000039935
pan_paniscus ENSPPAG00000028341
gorilla_gorilla ENSGGOG00000023411
homo_sapiens ENSG00000232070
nomascus_leucogenys ENSNLEG00000014354
cebus_capucinus ENSCCAG00000030528
saimiri_boliviensis_boliviensis ENSSBOG00000033526
callithrix_jacchus ENSCJAG00000047766
aotus_nancymaae ENSANAG00000037230
carlito_syrichta ENSTSYG00000033401
equus_asinus_asinus ENSEASG00005010410
equus_caballus ENSECAG00000016663
myotis_lucifugus ENSMLUG00000026300
capra_hircus ENSCHIG00000020289
ovis_aries ENSOARG00000019674
bos_taurus ENSBTAG00000032908
bos_mutus ENSBMUG00000018774
bison_bison_bison ENSBBBG00000011158
sus_scrofa ENSSSCG00000030437
ursus_americanus ENSUAMG00000007904
ursus_maritimus ENSUMAG00000003780
ailuropoda_melanoleuca ENSAMEG00000006503
canis_lupus_familiaris ENSCAFG00000024620
canis_lupus_dingo ENSCAFG00020014456
vulpes_vulpes ENSVVUG00000009250
neovison_vison ENSNVIG00000014211
mustela_putorius_furo ENSMPUG00000000157
panthera_pardus ENSPPRG00000008849
panthera_tigris_altaica ENSPTIG00000009149
felis_catus ENSFCAG00000025544
dasypus_novemcinctus ENSDNOG00000035380
loxodonta_africana ENSLAFG00000030438
sarcophilus_harrisii ENSSHAG00000004496
phascolarctos_cinereus ENSPCIG00000013303
