macaca_nemestrina ENSMNEG00000016365
papio_anubis ENSPANG00000035947
cercocebus_atys ENSCATG00000019880
piliocolobus_tephrosceles ENSPTEG00000012841
piliocolobus_tephrosceles ENSPTEG00000023852
piliocolobus_tephrosceles ENSPTEG00000012810
colobus_angolensis_palliatus ENSCANG00000032497
rhinopithecus_bieti ENSRBIG00000034632
rhinopithecus_bieti ENSRBIG00000041284
rhinopithecus_roxellana ENSRROG00000005079
colobus_angolensis_palliatus ENSCANG00000028474
piliocolobus_tephrosceles ENSPTEG00000013078
