cricetulus_griseus_crigri-picr ENSCGRG00015007658
cricetulus_griseus_chok1gshd ENSCGRG00001005787
microtus_ochrogaster ENSMOCG00000015606
peromyscus_maniculatus_bairdii ENSPEMG00000024783
mus_spicilegus ENSMSIG00000012415
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026218
mus_musculus ENSMUSG00000103523
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025272
mus_pahari MGP_PahariEiJ_G0026718
meriones_unguiculatus ENSMUGG00000023229
castor_canadensis ENSCCNG00000009290
chinchilla_lanigera ENSCLAG00000002543
spermophilus_dauricus ENSSDAG00000002183
marmota_marmota_marmota ENSMMMG00000018216
urocitellus_parryii ENSUPAG00010016647
piliocolobus_tephrosceles ENSPTEG00000026819
theropithecus_gelada ENSTGEG00000018182
homo_sapiens ENSG00000285946
prolemur_simus ENSPSMG00000000352
canis_lupus_familiaris ENSCAFG00000030327
canis_lupus_dingo ENSCAFG00020009396
vulpes_vulpes ENSVVUG00000015738
neovison_vison ENSNVIG00000007444
equus_asinus_asinus ENSEASG00005005156
equus_caballus ENSECAG00000036893
