scophthalmus_maximus ENSSMAG00000005203
cynoglossus_semilaevis ENSCSEG00000003914
seriola_dumerili ENSSDUG00000003371
seriola_lalandi_dorsalis ENSSLDG00000005331
mola_mola ENSMMOG00000003886
takifugu_rubripes ENSTRUG00000024271
labrus_bergylta ENSLBEG00000022469
mastacembelus_armatus ENSMAMG00000006085
monopterus_albus ENSMALG00000018581
anabas_testudineus ENSATEG00000024450
xiphophorus_maculatus ENSXMAG00000023227
xiphophorus_couchianus ENSXCOG00000018477
gambusia_affinis ENSGAFG00000003901
poecilia_formosa ENSPFOG00000016194
poecilia_latipinna ENSPLAG00000009628
poecilia_mexicana ENSPMEG00000003059
poecilia_reticulata ENSPREG00000013406
fundulus_heteroclitus ENSFHEG00000006786
cyprinodon_variegatus ENSCVAG00000004944
kryptolebias_marmoratus ENSKMAG00000015594
oryzias_latipes ENSORLG00000026504
oryzias_latipes ENSORLG00020016186
oryzias_latipes_asm223469v1 ENSORLG00015011462
oryzias_melastigma ENSOMEG00000020699
maylandia_zebra ENSMZEG00005022922
astatotilapia_calliptera ENSACLG00000004717
haplochromis_burtoni ENSHBUG00000005393
pundamilia_nyererei ENSPNYG00000019349
neolamprologus_brichardi ENSNBRG00000011666
oreochromis_niloticus ENSONIG00000019263
amphiprion_percula ENSAPEG00000008278
amphiprion_ocellaris ENSAOCG00000018278
acanthochromis_polyacanthus ENSAPOG00000009291
stegastes_partitus ENSSPAG00000001668
hippocampus_comes ENSHCOG00000018005
periophthalmus_magnuspinnatus ENSPMGG00000019953
esox_lucius ENSELUG00000022331
pygocentrus_nattereri ENSPNAG00000005356
astyanax_mexicanus ENSAMXG00000030827
ictalurus_punctatus ENSIPUG00000002928
paramormyrops_kingsleyae ENSPKIG00000003863
scleropages_formosus ENSSFOG00015017863
lepisosteus_oculatus ENSLOCG00000004440
