paramormyrops_kingsleyae ENSPKIG00000002114
scleropages_formosus ENSSFOG00015008195
scophthalmus_maximus ENSSMAG00000019224
cynoglossus_semilaevis ENSCSEG00000001645
seriola_dumerili ENSSDUG00000016642
mastacembelus_armatus ENSMAMG00000012687
anabas_testudineus ENSATEG00000000101
labrus_bergylta ENSLBEG00000015175
labrus_bergylta ENSLBEG00000003939
mola_mola ENSMMOG00000001531
gasterosteus_aculeatus ENSGACG00000006030
amphiprion_ocellaris ENSAOCG00000022230
amphiprion_percula ENSAPEG00000015072
acanthochromis_polyacanthus ENSAPOG00000017067
stegastes_partitus ENSSPAG00000010662
pundamilia_nyererei ENSPNYG00000014013
haplochromis_burtoni ENSHBUG00000004981
astatotilapia_calliptera ENSACLG00000025782
maylandia_zebra ENSMZEG00005015709
oreochromis_niloticus ENSONIG00000003747
neolamprologus_brichardi ENSNBRG00000021095
amphilophus_citrinellus ENSACIG00000023360
xiphophorus_couchianus ENSXCOG00000011990
xiphophorus_maculatus ENSXMAG00000016060
gambusia_affinis ENSGAFG00000010950
poecilia_formosa ENSPFOG00000014621
poecilia_latipinna ENSPLAG00000023263
poecilia_mexicana ENSPMEG00000019190
poecilia_reticulata ENSPREG00000022747
cyprinodon_variegatus ENSCVAG00000002680
fundulus_heteroclitus ENSFHEG00000003862
kryptolebias_marmoratus ENSKMAG00000004657
oryzias_latipes_asm223469v1 ENSORLG00015003105
oryzias_latipes ENSORLG00000011825
oryzias_latipes ENSORLG00020005231
oryzias_melastigma ENSOMEG00000011795
hippocampus_comes ENSHCOG00000010117
hippocampus_comes ENSHCOG00000000316
periophthalmus_magnuspinnatus ENSPMGG00000014079
takifugu_rubripes ENSTRUG00000001224
tetraodon_nigroviridis ENSTNIG00000003789
gadus_morhua ENSGMOG00000019346
esox_lucius ENSELUG00000012936
pygocentrus_nattereri ENSPNAG00000021293
astyanax_mexicanus ENSAMXG00000001353
ictalurus_punctatus ENSIPUG00000024586
danio_rerio ENSDARG00000013845
lepisosteus_oculatus ENSLOCG00000000432
latimeria_chalumnae ENSLACG00000012412
erinaceus_europaeus ENSEEUG00000006482
sorex_araneus ENSSARG00000010900
equus_asinus_asinus ENSEASG00005016838
equus_caballus ENSECAG00000014616
ursus_maritimus ENSUMAG00000007101
ursus_maritimus ENSUMAG00000007106
ursus_americanus ENSUAMG00000023722
ailuropoda_melanoleuca ENSAMEG00000011013
neovison_vison ENSNVIG00000016897
mustela_putorius_furo ENSMPUG00000002322
canis_lupus_familiaris ENSCAFG00000011520
canis_lupus_dingo ENSCAFG00020023505
vulpes_vulpes ENSVVUG00000006305
vulpes_vulpes ENSVVUG00000015212
panthera_pardus ENSPPRG00000006127
panthera_tigris_altaica ENSPTIG00000001841
felis_catus ENSFCAG00000027763
pteropus_vampyrus ENSPVAG00000003245
myotis_lucifugus ENSMLUG00000010448
capra_hircus ENSCHIG00000013993
ovis_aries ENSOARG00000020682
bos_mutus ENSBMUG00000017289
bos_taurus ENSBTAG00000001968
bison_bison_bison ENSBBBG00000016091
tursiops_truncatus ENSTTRG00000014660
vicugna_pacos ENSVPAG00000003378
sus_scrofa ENSSSCG00000011767
castor_canadensis ENSCCNG00000025771
dipodomys_ordii ENSDORG00000002727
mus_musculus ENSMUSG00000027677
mus_spicilegus ENSMSIG00000010721
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025859
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024925
mus_pahari MGP_PahariEiJ_G0026370
rattus_norvegicus ENSRNOG00000011261
meriones_unguiculatus ENSMUGG00000009976
cricetulus_griseus_crigri-picr ENSCGRG00015026906
cricetulus_griseus_chok1gshd ENSCGRG00001021605
cricetulus_griseus_crigri ENSCGRG00000000374
mesocricetus_auratus ENSMAUG00000009258
microtus_ochrogaster ENSMOCG00000020574
mesocricetus_auratus ENSMAUG00000000140
microtus_ochrogaster ENSMOCG00000012924
peromyscus_maniculatus_bairdii ENSPEMG00000013671
nannospalax_galili ENSNGAG00000019537
jaculus_jaculus ENSJJAG00000023040
marmota_marmota_marmota ENSMMMG00000003524
marmota_marmota_marmota ENSMMMG00000003512
ictidomys_tridecemlineatus ENSSTOG00000003827
spermophilus_dauricus ENSSDAG00000013827
spermophilus_dauricus ENSSDAG00000013878
urocitellus_parryii ENSUPAG00010022594
chinchilla_lanigera ENSCLAG00000013302
octodon_degus ENSODEG00000001450
cavia_porcellus ENSCPOG00000015311
cavia_aperea ENSCAPG00000017133
heterocephalus_glaber_male ENSHGLG00100008462
heterocephalus_glaber_male ENSHGLG00100000619
heterocephalus_glaber_female ENSHGLG00000016959
fukomys_damarensis ENSFDAG00000014925
oryctolagus_cuniculus ENSOCUG00000000806
ochotona_princeps ENSOPRG00000013442
tupaia_belangeri ENSTBEG00000013243
pan_paniscus ENSPPAG00000040361
pan_troglodytes ENSPTRG00000015652
gorilla_gorilla ENSGGOG00000003335
homo_sapiens ENSG00000163728
pongo_abelii ENSPPYG00000014324
nomascus_leucogenys ENSNLEG00000005900
cercocebus_atys ENSCATG00000031048
mandrillus_leucophaeus ENSMLEG00000000458
theropithecus_gelada ENSTGEG00000025151
papio_anubis ENSPANG00000011012
macaca_fascicularis ENSMFAG00000046249
macaca_mulatta ENSMMUG00000019656
macaca_nemestrina ENSMNEG00000044800
chlorocebus_sabaeus ENSCSAG00000013105
rhinopithecus_roxellana ENSRROG00000045769
rhinopithecus_bieti ENSRBIG00000039635
piliocolobus_tephrosceles ENSPTEG00000029008
colobus_angolensis_palliatus ENSCANG00000023819
callithrix_jacchus ENSCJAG00000012923
saimiri_boliviensis_boliviensis ENSSBOG00000024686
cebus_capucinus ENSCCAG00000025759
aotus_nancymaae ENSANAG00000028203
carlito_syrichta ENSTSYG00000012657
propithecus_coquereli ENSPCOG00000027629
microcebus_murinus ENSMICG00000049351
prolemur_simus ENSPSMG00000020920
otolemur_garnettii ENSOGAG00000006895
dasypus_novemcinctus ENSDNOG00000000730
choloepus_hoffmanni ENSCHOG00000011092
echinops_telfairi ENSETEG00000016600
procavia_capensis ENSPCAG00000010031
loxodonta_africana ENSLAFG00000013418
prolemur_simus ENSPSMG00000017425
petromyzon_marinus ENSPMAG00000006425
phascolarctos_cinereus ENSPCIG00000019438
notamacropus_eugenii ENSMEUG00000003059
sarcophilus_harrisii ENSSHAG00000018408
monodelphis_domestica ENSMODG00000021296
ornithorhynchus_anatinus ENSOANG00000003676
apteryx_owenii ENSAOWG00000016489
apteryx_haastii ENSAHAG00000009730
apteryx_rowi ENSARWG00000017076
dromaius_novaehollandiae ENSDNVG00000016575
nothoprocta_perdicaria ENSNPEG00000002830
lepidothrix_coronata ENSLCOG00000014332
manacus_vitellinus ENSMVIG00005000076
cyanistes_caeruleus ENSCCEG00000007653
parus_major ENSPMJG00000002481
ficedula_albicollis ENSFALG00000008319
taeniopygia_guttata ENSTGUG00000010592
lonchura_striata_domestica ENSLSDG00000018129
