amphiprion_ocellaris ENSAOCG00000002990
stegastes_partitus ENSSPAG00000015969
oryzias_latipes ENSORLG00015005513
oryzias_latipes ENSORLG00020009440
oryzias_latipes ENSORLG00000030442
oryzias_melastigma ENSOMEG00000008976
astatotilapia_calliptera ENSACLG00000000452
maylandia_zebra ENSMZEG00005006923
pundamilia_nyererei ENSPNYG00000016686
haplochromis_burtoni ENSHBUG00000023751
monopterus_albus ENSMALG00000016998
mola_mola ENSMMOG00000001827
xiphophorus_couchianus ENSXCOG00000006500
cyprinodon_variegatus ENSCVAG00000004329
scophthalmus_maximus ENSSMAG00000020569
hippocampus_comes ENSHCOG00000004991
scleropages_formosus ENSSFOG00015021829
paramormyrops_kingsleyae ENSPKIG00000001254
