sorex_araneus ENSSARG00000012794
vicugna_pacos ENSVPAG00000003511
ochotona_princeps ENSOPRG00000002170
oryctolagus_cuniculus ENSOCUG00000004721
propithecus_coquereli ENSPCOG00000018082
prolemur_simus ENSPSMG00000008703
microcebus_murinus ENSMICG00000013127
otolemur_garnettii ENSOGAG00000003902
pan_paniscus ENSPPAG00000039012
pan_troglodytes ENSPTRG00000020151
homo_sapiens ENSG00000133874
gorilla_gorilla ENSGGOG00000013394
pongo_abelii ENSPPYG00000018503
nomascus_leucogenys ENSNLEG00000012113
rhinopithecus_roxellana ENSRROG00000028409
rhinopithecus_bieti ENSRBIG00000035636
colobus_angolensis_palliatus ENSCANG00000041700
piliocolobus_tephrosceles ENSPTEG00000032991
theropithecus_gelada ENSTGEG00000006256
papio_anubis ENSPANG00000024478
cercocebus_atys ENSCATG00000027451
chlorocebus_sabaeus ENSCSAG00000015784
mandrillus_leucophaeus ENSMLEG00000033592
macaca_fascicularis ENSMFAG00000025156
macaca_mulatta ENSMMUG00000029010
macaca_nemestrina ENSMNEG00000010426
callithrix_jacchus ENSCJAG00000040195
saimiri_boliviensis_boliviensis ENSSBOG00000009425
cebus_capucinus ENSCCAG00000034508
cebus_capucinus ENSCCAG00000020913
aotus_nancymaae ENSANAG00000022008
carlito_syrichta ENSTSYG00000001488
capra_hircus ENSCHIG00000007153
ovis_aries ENSOARG00000000415
bos_mutus ENSBMUG00000005391
bos_taurus ENSBTAG00000016411
bison_bison_bison ENSBBBG00000021747
equus_caballus ENSECAG00000015301
equus_asinus_asinus ENSEASG00005016744
pteropus_vampyrus ENSPVAG00000004699
myotis_lucifugus ENSMLUG00000012520
erinaceus_europaeus ENSEEUG00000015038
vulpes_vulpes ENSVVUG00000019943
canis_lupus_familiaris ENSCAFG00000006291
canis_lupus_dingo ENSCAFG00020001343
ursus_maritimus ENSUMAG00000021124
ailuropoda_melanoleuca ENSAMEG00000008472
ursus_americanus ENSUAMG00000026900
mustela_putorius_furo ENSMPUG00000010127
neovison_vison ENSNVIG00000006786
panthera_pardus ENSPPRG00000009660
panthera_tigris_altaica ENSPTIG00000003477
felis_catus ENSFCAG00000025628
tursiops_truncatus ENSTTRG00000012999
sus_scrofa ENSSSCG00000036062
loxodonta_africana ENSLAFG00000000678
procavia_capensis ENSPCAG00000011410
echinops_telfairi ENSETEG00000017487
mus_musculus ENSMUSG00000039328
mus_spicilegus ENSMSIG00000030078
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032073
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030955
mus_pahari MGP_PahariEiJ_G0021424
rattus_norvegicus ENSRNOG00000023473
meriones_unguiculatus ENSMUGG00000018150
cricetulus_griseus_chok1gshd ENSCGRG00001015247
cricetulus_griseus_crigri ENSCGRG00000011296
cricetulus_griseus_crigri-picr ENSCGRG00015016937
mesocricetus_auratus ENSMAUG00000009969
peromyscus_maniculatus_bairdii ENSPEMG00000026194
microtus_ochrogaster ENSMOCG00000001095
nannospalax_galili ENSNGAG00000001045
jaculus_jaculus ENSJJAG00000012987
castor_canadensis ENSCCNG00000010139
dipodomys_ordii ENSDORG00000015725
heterocephalus_glaber_male ENSHGLG00100011230
heterocephalus_glaber_female ENSHGLG00000002307
fukomys_damarensis ENSFDAG00000005590
cavia_porcellus ENSCPOG00000035273
cavia_aperea ENSCAPG00000005504
chinchilla_lanigera ENSCLAG00000003028
octodon_degus ENSODEG00000005757
spermophilus_dauricus ENSSDAG00000002867
marmota_marmota_marmota ENSMMMG00000014800
urocitellus_parryii ENSUPAG00010022894
ictidomys_tridecemlineatus ENSSTOG00000016504
choloepus_hoffmanni ENSCHOG00000000483
dasypus_novemcinctus ENSDNOG00000041037
phascolarctos_cinereus ENSPCIG00000034986
notamacropus_eugenii ENSMEUG00000011250
sarcophilus_harrisii ENSSHAG00000008057
monodelphis_domestica ENSMODG00000011059
ornithorhynchus_anatinus ENSOANG00000002393
gopherus_agassizii ENSGAGG00000022175
chelonoidis_abingdonii ENSCABG00000017212
chrysemys_picta_bellii ENSCPBG00000000141
pelodiscus_sinensis ENSPSIG00000011405
crocodylus_porosus ENSCPRG00005002779
sphenodon_punctatus ENSSPUG00000009206
anolis_carolinensis ENSACAG00000000885
pogona_vitticeps ENSPVIG00000012346
notechis_scutatus ENSNSUG00000002252
salvator_merianae ENSSMRG00000000220
parus_major ENSPMJG00000017806
cyanistes_caeruleus ENSCCEG00000004275
cyanistes_caeruleus ENSCCEG00000005102
lepidothrix_coronata ENSLCOG00000008218
taeniopygia_guttata ENSTGUG00000017305
calidris_pygmaea ENSCPGG00000007334
anser_brachyrhynchus ENSABRG00000015128
anas_platyrhynchos_platyrhynchos ENSAPLG00000003031
gallus_gallus ENSGALG00000001640
coturnix_japonica ENSCJPG00005015151
numida_meleagris ENSNMEG00000019549
melopsittacus_undulatus ENSMUNG00000000215
apteryx_rowi ENSARWG00000011595
apteryx_rowi ENSARWG00000011639
apteryx_owenii ENSAOWG00000001668
dromaius_novaehollandiae ENSDNVG00000006896
fundulus_heteroclitus ENSFHEG00000019429
kryptolebias_marmoratus ENSKMAG00000000771
periophthalmus_magnuspinnatus ENSPMGG00000017365
mola_mola ENSMMOG00000013194
anabas_testudineus ENSATEG00000018458
scophthalmus_maximus ENSSMAG00000003728
seriola_lalandi_dorsalis ENSSLDG00000019711
seriola_dumerili ENSSDUG00000001471
labrus_bergylta ENSLBEG00000017837
monopterus_albus ENSMALG00000018332
amphiprion_percula ENSAPEG00000020484
amphiprion_ocellaris ENSAOCG00000015901
acanthochromis_polyacanthus ENSAPOG00000014495
stegastes_partitus ENSSPAG00000000684
pundamilia_nyererei ENSPNYG00000016793
maylandia_zebra ENSMZEG00005008369
haplochromis_burtoni ENSHBUG00000003054
astatotilapia_calliptera ENSACLG00000013459
neolamprologus_brichardi ENSNBRG00000015683
amphilophus_citrinellus ENSACIG00000004796
poecilia_formosa ENSPFOG00000005346
poecilia_mexicana ENSPMEG00000016832
poecilia_latipinna ENSPLAG00000015553
poecilia_reticulata ENSPREG00000014439
