cottoperca_gobio ENSCGOG00000012268
gasterosteus_aculeatus ENSGACG00000010096
labrus_bergylta ENSLBEG00000022308
amphiprion_ocellaris ENSAOCG00000009028
amphiprion_percula ENSAPEG00000000450
acanthochromis_polyacanthus ENSAPOG00000022800
stegastes_partitus ENSSPAG00000014422
maylandia_zebra ENSMZEG00005000218
astatotilapia_calliptera ENSACLG00000015415
pundamilia_nyererei ENSPNYG00000006844
haplochromis_burtoni ENSHBUG00000001750
neolamprologus_brichardi ENSNBRG00000003281
oreochromis_niloticus ENSONIG00000003641
amphilophus_citrinellus ENSACIG00000015233
tetraodon_nigroviridis ENSTNIG00000007710
takifugu_rubripes ENSTRUG00000006444
mola_mola ENSMMOG00000012768
oryzias_latipes ENSORLG00000006242
periophthalmus_magnuspinnatus ENSPMGG00000014012
scophthalmus_maximus ENSSMAG00000012843
cynoglossus_semilaevis ENSCSEG00000017926
lates_calcarifer ENSLCAG00010001344
seriola_lalandi ENSSLDG00000006512
seriola_dumerili ENSSDUG00000023723
mastacembelus_armatus ENSMAMG00000012474
larimichthys_crocea ENSLCRG00005005196
betta_splendens ENSBSLG00000012420
poecilia_latipinna ENSPLAG00000008010
poecilia_latipinna ENSPLAG00000008018
poecilia_formosa ENSPFOG00000012216
poecilia_mexicana ENSPMEG00000008427
poecilia_reticulata ENSPREG00000001895
xiphophorus_maculatus ENSXMAG00000021386
xiphophorus_couchianus ENSXCOG00000012480
gambusia_affinis ENSGAFG00000012819
cyprinodon_variegatus ENSCVAG00000004704
fundulus_heteroclitus ENSFHEG00000016581
kryptolebias_marmoratus ENSKMAG00000020389
oryzias_latipes ENSORLG00015006404
oryzias_latipes ENSORLG00020003875
oryzias_melastigma ENSOMEG00000012057
parambassis_ranga ENSPRNG00000002053
gouania_willdenowi ENSGWIG00000012090
xiphophorus_couchianus ENSXCOG00000012482
gadus_morhua ENSGMOG00000009696
hucho_hucho ENSHHUG00000021717
esox_lucius ENSELUG00000024060
astyanax_mexicanus ENSAMXG00000033778
ictalurus_punctatus ENSIPUG00000005181
labrus_bergylta ENSLBEG00000021116
tetraodon_nigroviridis ENSTNIG00000015242
gasterosteus_aculeatus ENSGACG00000013840
mastacembelus_armatus ENSMAMG00000011773
lates_calcarifer ENSLCAG00010014981
fundulus_heteroclitus ENSFHEG00000018721
cyprinodon_variegatus ENSCVAG00000008820
poecilia_formosa ENSPFOG00000020069
poecilia_latipinna ENSPLAG00000017362
poecilia_reticulata ENSPREG00000001976
xiphophorus_maculatus ENSXMAG00000020356
xiphophorus_couchianus ENSXCOG00000002071
kryptolebias_marmoratus ENSKMAG00000010409
oryzias_latipes ENSORLG00020014120
oryzias_latipes ENSORLG00000027330
oryzias_latipes ENSORLG00015014176
oryzias_melastigma ENSOMEG00000016904
gouania_willdenowi ENSGWIG00000006539
astatotilapia_calliptera ENSACLG00000026984
maylandia_zebra ENSMZEG00005025506
haplochromis_burtoni ENSHBUG00000001159
oreochromis_niloticus ENSONIG00000009954
amphilophus_citrinellus ENSACIG00000013244
stegastes_partitus ENSSPAG00000014539
periophthalmus_magnuspinnatus ENSPMGG00000015084
hippocampus_comes ENSHCOG00000009562
gadus_morhua ENSGMOG00000020214
hucho_hucho ENSHHUG00000014527
esox_lucius ENSELUG00000021657
danio_rerio ENSDARG00000063223
astyanax_mexicanus ENSAMXG00000035779
denticeps_clupeoides ENSDCDG00000016414
