electrophorus_electricus ENSEEEG00000005944
clupea_harengus ENSCHAG00000025114
scophthalmus_maximus ENSSMAG00000000577
cynoglossus_semilaevis ENSCSEG00000017459
amphilophus_citrinellus ENSACIG00000007849
neolamprologus_brichardi ENSNBRG00000014592
fundulus_heteroclitus ENSFHEG00000020582
kryptolebias_marmoratus ENSKMAG00000014514
oryzias_melastigma ENSOMEG00000002682
oryzias_latipes ENSORLG00020008108
takifugu_rubripes ENSTRUG00000024675
hippocampus_comes ENSHCOG00000016420
periophthalmus_magnuspinnatus ENSPMGG00000007356
scleropages_formosus ENSSFOG00015004925
