dasypus_novemcinctus ENSDNOG00000006939
choloepus_hoffmanni ENSCHOG00000006821
loxodonta_africana ENSLAFG00000031051
procavia_capensis ENSPCAG00000010050
echinops_telfairi ENSETEG00000010553
ictidomys_tridecemlineatus ENSSTOG00000004438
urocitellus_parryii ENSUPAG00010013014
spermophilus_dauricus ENSSDAG00000004605
marmota_marmota ENSMMMG00000011512
heterocephalus_glaber ENSHGLG00100004154
heterocephalus_glaber ENSHGLG00100000361
heterocephalus_glaber ENSHGLG00000015295
fukomys_damarensis ENSFDAG00000012857
chinchilla_lanigera ENSCLAG00000017325
peromyscus_maniculatus ENSPEMG00000024852
peromyscus_maniculatus ENSPEMG00000030270
microtus_ochrogaster ENSMOCG00000021808
cricetulus_griseus ENSCGRG00015016824
cricetulus_griseus ENSCGRG00000004114
cricetulus_griseus ENSCGRG00001019745
mesocricetus_auratus ENSMAUG00000015493
mus_spicilegus ENSMSIG00000018908
mus_spretus MGP_SPRETEiJ_G0030821
mus_musculus ENSMUSG00000023467
mus_caroli MGP_CAROLIEiJ_G0029723
mus_pahari MGP_PahariEiJ_G0012948
rattus_norvegicus ENSRNOG00000020927
meriones_unguiculatus ENSMUGG00000011992
nannospalax_galili ENSNGAG00000022361
jaculus_jaculus ENSJJAG00000007768
castor_canadensis ENSCCNG00000022561
oryctolagus_cuniculus ENSOCUG00000017794
ochotona_princeps ENSOPRG00000002379
tupaia_belangeri ENSTBEG00000010429
prolemur_simus ENSPSMG00000000600
microcebus_murinus ENSMICG00000041456
propithecus_coquereli ENSPCOG00000015059
otolemur_garnettii ENSOGAG00000007504
pan_paniscus ENSPPAG00000038602
pan_troglodytes ENSPTRG00000011262
gorilla_gorilla ENSGGOG00000006328
homo_sapiens ENSG00000104804
pongo_abelii ENSPPYG00000010219
nomascus_leucogenys ENSNLEG00000031971
macaca_fascicularis ENSMFAG00000000586
macaca_mulatta ENSMMUG00000048854
mandrillus_leucophaeus ENSMLEG00000000084
macaca_nemestrina ENSMNEG00000018510
cercocebus_atys ENSCATG00000032198
chlorocebus_sabaeus ENSCSAG00000002793
papio_anubis ENSPANG00000020842
piliocolobus_tephrosceles ENSPTEG00000039488
colobus_angolensis ENSCANG00000043597
rhinopithecus_roxellana ENSRROG00000041898
rhinopithecus_bieti ENSRBIG00000044891
cebus_capucinus ENSCCAG00000022051
saimiri_boliviensis ENSSBOG00000021269
aotus_nancymaae ENSANAG00000023196
bos_mutus ENSBMUG00000015884
bos_taurus ENSBTAG00000002368
bison_bison ENSBBBG00000001905
ovis_aries ENSOARG00000012374
capra_hircus ENSCHIG00000011043
tursiops_truncatus ENSTTRG00000001249
sus_scrofa ENSSSCG00000003149
vicugna_pacos ENSVPAG00000010973
equus_asinus ENSEASG00005004814
equus_caballus ENSECAG00000010999
pteropus_vampyrus ENSPVAG00000009561
myotis_lucifugus ENSMLUG00000005019
mustela_putorius ENSMPUG00000003461
neovison_vison ENSNVIG00000012532
ursus_americanus ENSUAMG00000010645
ursus_maritimus ENSUMAG00000001243
ailuropoda_melanoleuca ENSAMEG00000014667
canis_lupus ENSCAFG00000003878
canis_lupus ENSCAFG00020026244
vulpes_vulpes ENSVVUG00000023018
panthera_tigris ENSPTIG00000011132
panthera_pardus ENSPPRG00000017446
felis_catus ENSFCAG00000002071
erinaceus_europaeus ENSEEUG00000007402
sorex_araneus ENSSARG00000011697
ornithorhynchus_anatinus ENSOANG00000031710
notamacropus_eugenii ENSMEUG00000008184
notamacropus_eugenii ENSMEUG00000000518
phascolarctos_cinereus ENSPCIG00000007335
sarcophilus_harrisii ENSSHAG00000004243
monodelphis_domestica ENSMODG00000013699
chrysemys_picta ENSCPBG00000014920
chelonoidis_abingdonii ENSCABG00000000609
crocodylus_porosus ENSCPRG00005016777
pogona_vitticeps ENSPVIG00000015438
anolis_carolinensis ENSACAG00000017252
notechis_scutatus ENSNSUG00000005843
salvator_merianae ENSSMRG00000004122
salvator_merianae ENSSMRG00000004125
sphenodon_punctatus ENSSPUG00000014564
