hucho_hucho ENSHHUG00000039862
esox_lucius ENSELUG00000009508
gouania_willdenowi ENSGWIG00000023859
hippocampus_comes ENSHCOG00000017754
scophthalmus_maximus ENSSMAG00000009981
takifugu_rubripes ENSTRUG00000010603
tetraodon_nigroviridis ENSTNIG00000011842
mola_mola ENSMMOG00000001606
gasterosteus_aculeatus ENSGACG00000004139
larimichthys_crocea ENSLCRG00005008496
labrus_bergylta ENSLBEG00000001832
seriola_dumerili ENSSDUG00000008563
seriola_lalandi ENSSLDG00000000695
lates_calcarifer ENSLCAG00010014830
cynoglossus_semilaevis ENSCSEG00000017066
periophthalmus_magnuspinnatus ENSPMGG00000008386
mastacembelus_armatus ENSMAMG00000007570
monopterus_albus ENSMALG00000015530
anabas_testudineus ENSATEG00000009312
betta_splendens ENSBSLG00000008778
astatotilapia_calliptera ENSACLG00000017943
astatotilapia_calliptera ENSACLG00000023109
maylandia_zebra ENSMZEG00005008608
pundamilia_nyererei ENSPNYG00000000358
haplochromis_burtoni ENSHBUG00000004091
neolamprologus_brichardi ENSNBRG00000023626
oreochromis_niloticus ENSONIG00000018168
amphilophus_citrinellus ENSACIG00000011700
amphiprion_ocellaris ENSAOCG00000020103
amphiprion_percula ENSAPEG00000004118
acanthochromis_polyacanthus ENSAPOG00000020090
stegastes_partitus ENSSPAG00000008043
xiphophorus_couchianus ENSXCOG00000003554
xiphophorus_maculatus ENSXMAG00000014741
gambusia_affinis ENSGAFG00000013185
poecilia_formosa ENSPFOG00000018394
poecilia_latipinna ENSPLAG00000016856
poecilia_mexicana ENSPMEG00000021330
poecilia_reticulata ENSPREG00000013475
cyprinodon_variegatus ENSCVAG00000010381
fundulus_heteroclitus ENSFHEG00000005030
kryptolebias_marmoratus ENSKMAG00000012804
oryzias_latipes ENSORLG00000012606
oryzias_latipes ENSORLG00020021323
oryzias_latipes ENSORLG00015020218
oryzias_melastigma ENSOMEG00000003251
parambassis_ranga ENSPRNG00000019209
gadus_morhua ENSGMOG00000001482
gadus_morhua ENSGMOG00000008942
gadus_morhua ENSGMOG00000000616
clupea_harengus ENSCHAG00000018576
denticeps_clupeoides ENSDCDG00000026311
astyanax_mexicanus ENSAMXG00000041453
astyanax_mexicanus ENSAMXG00005020260
pygocentrus_nattereri ENSPNAG00000022779
ictalurus_punctatus ENSIPUG00000012757
electrophorus_electricus ENSEEEG00000008615
danio_rerio ENSDARG00000033446
scleropages_formosus ENSSFOG00015017826
paramormyrops_kingsleyae ENSPKIG00000002979
