xiphophorus_couchianus ENSXCOG00000001751
xiphophorus_maculatus ENSXMAG00000015090
poecilia_formosa ENSPFOG00000006390
poecilia_mexicana ENSPMEG00000011555
poecilia_latipinna ENSPLAG00000008488
poecilia_reticulata ENSPREG00000016498
cyprinodon_variegatus ENSCVAG00000000527
oryzias_latipes ENSORLG00000026204
oryzias_latipes ENSORLG00020015451
cynoglossus_semilaevis ENSCSEG00000015685
mola_mola ENSMMOG00000018987
gasterosteus_aculeatus ENSGACG00000015041
seriola_dumerili ENSSDUG00000017752
seriola_lalandi_dorsalis ENSSLDG00000014630
scophthalmus_maximus ENSSMAG00000001242
amphiprion_percula ENSAPEG00000009629
amphiprion_ocellaris ENSAOCG00000003049
stegastes_partitus ENSSPAG00000015375
labrus_bergylta ENSLBEG00000023337
anabas_testudineus ENSATEG00000013609
astatotilapia_calliptera ENSACLG00000000380
maylandia_zebra ENSMZEG00005019647
pundamilia_nyererei ENSPNYG00000009082
neolamprologus_brichardi ENSNBRG00000017544
amphilophus_citrinellus ENSACIG00000004954
mastacembelus_armatus ENSMAMG00000011194
hippocampus_comes ENSHCOG00000018557
esox_lucius ENSELUG00000000404
ictalurus_punctatus ENSIPUG00000009883
astyanax_mexicanus ENSAMXG00000026277
lepisosteus_oculatus ENSLOCG00000017399
