saimiri_boliviensis_boliviensis ENSSBOG00000030608
cebus_capucinus ENSCCAG00000025206
pan_paniscus ENSPPAG00000034516
gorilla_gorilla ENSGGOG00000040711
pan_troglodytes ENSPTRG00000044063
homo_sapiens ENSG00000261272
papio_anubis ENSPANG00000035938
colobus_angolensis_palliatus ENSCANG00000043476
chlorocebus_sabaeus ENSCSAG00000008367
cercocebus_atys ENSCATG00000010871
macaca_mulatta ENSMMUG00000045276
macaca_nemestrina ENSMNEG00000020400
macaca_fascicularis ENSMFAG00000043595
rhinopithecus_roxellana ENSRROG00000043299
mandrillus_leucophaeus ENSMLEG00000038619
rhinopithecus_bieti ENSRBIG00000044324
nomascus_leucogenys ENSNLEG00000034026
aotus_nancymaae ENSANAG00000029607
otolemur_garnettii ENSOGAG00000028101
mustela_putorius_furo ENSMPUG00000018390
