maylandia_zebra ENSMZEG00005008355
astatotilapia_calliptera ENSACLG00000026199
pundamilia_nyererei ENSPNYG00000014009
haplochromis_burtoni ENSHBUG00000011828
neolamprologus_brichardi ENSNBRG00000006056
amphilophus_citrinellus ENSACIG00000015689
labrus_bergylta ENSLBEG00000001065
amphiprion_ocellaris ENSAOCG00000012691
amphiprion_percula ENSAPEG00000023548
acanthochromis_polyacanthus ENSAPOG00000007874
stegastes_partitus ENSSPAG00000004847
takifugu_rubripes ENSTRUG00000024940
anabas_testudineus ENSATEG00000011711
monopterus_albus ENSMALG00000003592
hippocampus_comes ENSHCOG00000000193
seriola_lalandi_dorsalis ENSSLDG00000005986
seriola_dumerili ENSSDUG00000019709
poecilia_latipinna ENSPLAG00000015683
poecilia_reticulata ENSPREG00000000122
xiphophorus_maculatus ENSXMAG00000028953
xiphophorus_couchianus ENSXCOG00000000102
poecilia_mexicana ENSPMEG00000017588
gambusia_affinis ENSGAFG00000014385
fundulus_heteroclitus ENSFHEG00000009766
cyprinodon_variegatus ENSCVAG00000009167
kryptolebias_marmoratus ENSKMAG00000004884
oryzias_latipes_asm223469v1 ENSORLG00015000452
oryzias_latipes ENSORLG00000022879
oryzias_melastigma ENSOMEG00000002970
scophthalmus_maximus ENSSMAG00000003487
periophthalmus_magnuspinnatus ENSPMGG00000016523
mastacembelus_armatus ENSMAMG00000013106
