gambusia_affinis ENSGAFG00000015212
cyprinodon_variegatus ENSCVAG00000002501
amphiprion_percula ENSAPEG00000021197
amphiprion_ocellaris ENSAOCG00000005861
pundamilia_nyererei ENSPNYG00000002168
cynoglossus_semilaevis ENSCSEG00000012868
oryzias_melastigma ENSOMEG00000000900
periophthalmus_magnuspinnatus ENSPMGG00000006820
hippocampus_comes ENSHCOG00000012697
gadus_morhua ENSGMOG00000007032
esox_lucius ENSELUG00000003702
astyanax_mexicanus ENSAMXG00000037064
pygocentrus_nattereri ENSPNAG00000010401
ictalurus_punctatus ENSIPUG00000017372
scleropages_formosus ENSSFOG00015016502
paramormyrops_kingsleyae ENSPKIG00000001433
parus_major ENSPMJG00000011964
cyanistes_caeruleus ENSCCEG00000006364
ficedula_albicollis ENSFALG00000003220
lonchura_striata_domestica ENSLSDG00000001323
manacus_vitellinus ENSMVIG00005016324
calidris_pugnax ENSCPUG00000008959
anas_platyrhynchos_platyrhynchos ENSAPLG00000025294
apteryx_haastii ENSAHAG00000008743
apteryx_owenii ENSAOWG00000006886
chrysemys_picta_bellii ENSCPBG00000025287
