macaca_nemestrina ENSMNEG00000035127
macaca_mulatta ENSMMUG00000039803
macaca_fascicularis ENSMFAG00000030307
mandrillus_leucophaeus ENSMLEG00000042716
papio_anubis ENSPANG00000029474
cercocebus_atys ENSCATG00000039314
rhinopithecus_roxellana ENSRROG00000000058
rhinopithecus_bieti ENSRBIG00000029563
colobus_angolensis_palliatus ENSCANG00000020291
pan_troglodytes ENSPTRG00000047060
pan_paniscus ENSPPAG00000033933
nomascus_leucogenys ENSNLEG00000030035
gorilla_gorilla ENSGGOG00000043863
cebus_capucinus ENSCCAG00000033026
saimiri_boliviensis_boliviensis ENSSBOG00000033402
aotus_nancymaae ENSANAG00000036838
panthera_pardus ENSPPRG00000009352
sus_scrofa ENSSSCG00000038016
