astatotilapia_calliptera ENSACLG00000010601
pundamilia_nyererei ENSPNYG00000020794
maylandia_zebra ENSMZEG00005021152
maylandia_zebra ENSMZEG00005023445
maylandia_zebra ENSMZEG00005023095
haplochromis_burtoni ENSHBUG00000019760
neolamprologus_brichardi ENSNBRG00000023876
neolamprologus_brichardi ENSNBRG00000001486
pundamilia_nyererei ENSPNYG00000010535
amphilophus_citrinellus ENSACIG00000006707
neolamprologus_brichardi ENSNBRG00000004896
neolamprologus_brichardi ENSNBRG00000004861
takifugu_rubripes ENSTRUG00000021959
mola_mola ENSMMOG00000012746
labrus_bergylta ENSLBEG00000007201
monopterus_albus ENSMALG00000015099
