chrysemys_picta ENSCPBG00000010845
pelodiscus_sinensis ENSPSIG00000004157
crocodylus_porosus ENSCPRG00005007385
xenopus_tropicalis ENSXETG00000002101
hucho_hucho ENSHHUG00000011638
hucho_hucho ENSHHUG00000026865
esox_lucius ENSELUG00000003699
betta_splendens ENSBSLG00000003494
gouania_willdenowi ENSGWIG00000019904
larimichthys_crocea ENSLCRG00005018777
cottoperca_gobio ENSCGOG00000003683
takifugu_rubripes ENSTRUG00000011916
tetraodon_nigroviridis ENSTNIG00000012069
mola_mola ENSMMOG00000007489
labrus_bergylta ENSLBEG00000027244
monopterus_albus ENSMALG00000003160
mastacembelus_armatus ENSMAMG00000008997
anabas_testudineus ENSATEG00000021518
seriola_dumerili ENSSDUG00000020836
seriola_lalandi ENSSLDG00000009479
lates_calcarifer ENSLCAG00010002876
scophthalmus_maximus ENSSMAG00000007311
amphiprion_percula ENSAPEG00000019151
amphiprion_ocellaris ENSAOCG00000004567
acanthochromis_polyacanthus ENSAPOG00000016352
stegastes_partitus ENSSPAG00000016748
pundamilia_nyererei ENSPNYG00000004862
haplochromis_burtoni ENSHBUG00000020886
maylandia_zebra ENSMZEG00005009511
astatotilapia_calliptera ENSACLG00000017051
neolamprologus_brichardi ENSNBRG00000020797
oreochromis_niloticus ENSONIG00000018864
amphilophus_citrinellus ENSACIG00000018071
fundulus_heteroclitus ENSFHEG00000016162
cyprinodon_variegatus ENSCVAG00000019701
xiphophorus_maculatus ENSXMAG00000004897
xiphophorus_couchianus ENSXCOG00000012343
gambusia_affinis ENSGAFG00000013193
poecilia_latipinna ENSPLAG00000007330
poecilia_formosa ENSPFOG00000009810
poecilia_reticulata ENSPREG00000000495
poecilia_mexicana ENSPMEG00000017130
kryptolebias_marmoratus ENSKMAG00000021498
oryzias_latipes ENSORLG00015022720
oryzias_latipes ENSORLG00000013363
oryzias_latipes ENSORLG00020021954
oryzias_melastigma ENSOMEG00000010117
parambassis_ranga ENSPRNG00000015797
cynoglossus_semilaevis ENSCSEG00000011613
hippocampus_comes ENSHCOG00000016608
periophthalmus_magnuspinnatus ENSPMGG00000007374
gadus_morhua ENSGMOG00000005816
clupea_harengus ENSCHAG00000002740
denticeps_clupeoides ENSDCDG00000024042
astyanax_mexicanus ENSAMXG00000004857
astyanax_mexicanus ENSAMXG00005023671
pygocentrus_nattereri ENSPNAG00000005408
ictalurus_punctatus ENSIPUG00000018885
electrophorus_electricus ENSEEEG00000021925
danio_rerio ENSDARG00000088411
paramormyrops_kingsleyae ENSPKIG00000010661
scleropages_formosus ENSSFOG00015010785
lepisosteus_oculatus ENSLOCG00000007115
erpetoichthys_calabaricus ENSECRG00000016611
callorhinchus_milii ENSCMIG00000010247
