monodelphis_domestica ENSMODG00000018844
phascolarctos_cinereus ENSPCIG00000015108
spermophilus_dauricus ENSSDAG00000006417
urocitellus_parryii ENSUPAG00010014774
marmota_marmota_marmota ENSMMMG00000024617
castor_canadensis ENSCCNG00000007439
heterocephalus_glaber_female ENSHGLG00000002573
heterocephalus_glaber_male ENSHGLG00100005868
prolemur_simus ENSPSMG00000015791
equus_asinus_asinus ENSEASG00005004108
equus_caballus ENSECAG00000019920
loxodonta_africana ENSLAFG00000031706
ornithorhynchus_anatinus ENSOANG00000012923
poecilia_mexicana ENSPMEG00000016209
mola_mola ENSMMOG00000002883
