rattus_norvegicus ENSRNOG00000060518
dipodomys_ordii ENSDORG00000023138
castor_canadensis ENSCCNG00000006384
canis_lupus_familiaris ENSCAFG00000032276
capra_hircus ENSCHIG00000018556
ornithorhynchus_anatinus ENSOANG00000029882
manacus_vitellinus ENSMVIG00005002626
manacus_vitellinus ENSMVIG00005004790
apteryx_owenii ENSAOWG00000016786
pelodiscus_sinensis ENSPSIG00000001945
sphenodon_punctatus ENSSPUG00000018124
amphiprion_percula ENSAPEG00000004345
amphiprion_percula ENSAPEG00000004369
amphiprion_percula ENSAPEG00000004446
amphiprion_percula ENSAPEG00000004380
amphiprion_ocellaris ENSAOCG00000010333
amphiprion_percula ENSAPEG00000004414
maylandia_zebra ENSMZEG00005003752
maylandia_zebra ENSMZEG00005003719
