ailuropoda_melanoleuca ENSAMEG00000004136
ursus_maritimus ENSUMAG00000004926
canis_lupus_familiaris ENSCAFG00000001339
vulpes_vulpes ENSVVUG00000022464
equus_caballus ENSECAG00000012710
bos_mutus ENSBMUG00000019510
bison_bison_bison ENSBBBG00000012849
bos_taurus ENSBTAG00000020516
ovis_aries ENSOARG00000008773
capra_hircus ENSCHIG00000026206
sus_scrofa ENSSSCG00000010954
myotis_lucifugus ENSMLUG00000001284
mus_musculus ENSMUSG00000049902
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019486
mus_spicilegus ENSMSIG00000021349
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018606
mus_pahari MGP_PahariEiJ_G0019670
rattus_norvegicus ENSRNOG00000042206
meriones_unguiculatus ENSMUGG00000007992
peromyscus_maniculatus_bairdii ENSPEMG00000022165
microtus_ochrogaster ENSMOCG00000022999
cricetulus_griseus_crigri ENSCGRG00000006950
cricetulus_griseus_chok1gshd ENSCGRG00001001460
cricetulus_griseus_crigri-picr ENSCGRG00015014358
chinchilla_lanigera ENSCLAG00000008692
marmota_marmota_marmota ENSMMMG00000020847
urocitellus_parryii ENSUPAG00010023697
spermophilus_dauricus ENSSDAG00000008400
oryctolagus_cuniculus ENSOCUG00000007505
piliocolobus_tephrosceles ENSPTEG00000028194
macaca_nemestrina ENSMNEG00000028422
pan_paniscus ENSPPAG00000029481
pan_troglodytes ENSPTRG00000029236
gorilla_gorilla ENSGGOG00000007511
prolemur_simus ENSPSMG00000009104
dasypus_novemcinctus ENSDNOG00000034261
loxodonta_africana ENSLAFG00000005061
