clupea_harengus ENSCHAG00000005156
denticeps_clupeoides ENSDCDG00000000473
electrophorus_electricus ENSEEEG00000000202
ictalurus_punctatus ENSIPUG00000002207
astyanax_mexicanus ENSAMXG00000034092
astyanax_mexicanus ENSAMXG00005019444
pygocentrus_nattereri ENSPNAG00000022463
danio_rerio ENSDARG00000055370
hucho_hucho ENSHHUG00000020213
hucho_hucho ENSHHUG00000020190
esox_lucius ENSELUG00000012808
anabas_testudineus ENSATEG00000005488
betta_splendens ENSBSLG00000024102
tetraodon_nigroviridis ENSTNIG00000006038
tetraodon_nigroviridis ENSTNIG00000000819
takifugu_rubripes ENSTRUG00000008401
labrus_bergylta ENSLBEG00000018093
labrus_bergylta ENSLBEG00000018125
labrus_bergylta ENSLBEG00000013021
labrus_bergylta ENSLBEG00000012299
larimichthys_crocea ENSLCRG00005018435
cottoperca_gobio ENSCGOG00000020448
gasterosteus_aculeatus ENSGACG00000014803
lates_calcarifer ENSLCAG00010013756
scophthalmus_maximus ENSSMAG00000019313
seriola_lalandi ENSSLDG00000021680
seriola_lalandi ENSSLDG00000021684
seriola_lalandi ENSSLDG00000011436
seriola_dumerili ENSSDUG00000004068
monopterus_albus ENSMALG00000021309
monopterus_albus ENSMALG00000021327
pundamilia_nyererei ENSPNYG00000010289
haplochromis_burtoni ENSHBUG00000019372
astatotilapia_calliptera ENSACLG00000005184
maylandia_zebra ENSMZEG00005015251
neolamprologus_brichardi ENSNBRG00000001816
oreochromis_niloticus ENSONIG00000006375
gouania_willdenowi ENSGWIG00000015394
hippocampus_comes ENSHCOG00000011629
gadus_morhua ENSGMOG00000012342
scleropages_formosus ENSSFOG00015014406
paramormyrops_kingsleyae ENSPKIG00000015543
lepisosteus_oculatus ENSLOCG00000012869
