homo_sapiens ENSG00000025423
gorilla_gorilla ENSGGOG00000009606
pan_paniscus ENSPPAG00000029098
pongo_abelii ENSPPYG00000004673
nomascus_leucogenys ENSNLEG00000017442
colobus_angolensis ENSCANG00000033515
piliocolobus_tephrosceles ENSPTEG00000031120
rhinopithecus_bieti ENSRBIG00000035773
rhinopithecus_roxellana ENSRROG00000038505
macaca_fascicularis ENSMFAG00000040118
macaca_nemestrina ENSMNEG00000037670
macaca_mulatta ENSMMUG00000057617
papio_anubis ENSPANG00000030180
mandrillus_leucophaeus ENSMLEG00000029350
cercocebus_atys ENSCATG00000043939
theropithecus_gelada ENSTGEG00000015063
chlorocebus_sabaeus ENSCSAG00000005007
callithrix_jacchus ENSCJAG00000010652
saimiri_boliviensis ENSSBOG00000018711
cebus_capucinus ENSCCAG00000030523
aotus_nancymaae ENSANAG00000033905
carlito_syrichta ENSTSYG00000013583
prolemur_simus ENSPSMG00000023411
propithecus_coquereli ENSPCOG00000016115
microcebus_murinus ENSMICG00000043569
otolemur_garnettii ENSOGAG00000012561
dipodomys_ordii ENSDORG00000008049
dipodomys_ordii ENSDORG00000003680
castor_canadensis ENSCCNG00000020197
cricetulus_griseus ENSCGRG00015028366
cricetulus_griseus ENSCGRG00001003931
cricetulus_griseus ENSCGRG00000016003
microtus_ochrogaster ENSMOCG00000014834
peromyscus_maniculatus ENSPEMG00000009978
mus_caroli MGP_CAROLIEiJ_G0015915
mus_spicilegus ENSMSIG00000008722
mus_musculus ENSMUSG00000025396
mus_spretus MGP_SPRETEiJ_G0016740
mus_pahari MGP_PahariEiJ_G0031169
rattus_norvegicus ENSRNOG00000002597
rattus_norvegicus ENSRNOG00000007758
cricetulus_griseus ENSCGRG00000018892
mus_spicilegus ENSMSIG00000004335
nannospalax_galili ENSNGAG00000020704
heterocephalus_glaber ENSHGLG00100010948
heterocephalus_glaber ENSHGLG00000016546
fukomys_damarensis ENSFDAG00000003412
chinchilla_lanigera ENSCLAG00000013306
chinchilla_lanigera ENSCLAG00000012992
cavia_porcellus ENSCPOG00000006822
cavia_aperea ENSCAPG00000009354
cavia_porcellus ENSCPOG00000002890
ursus_maritimus ENSUMAG00000017756
ursus_americanus ENSUAMG00000010850
equus_asinus ENSEASG00005006329
bos_indicus ENSBIXG00000003504
bison_bison ENSBBBG00000007888
panthera_tigris ENSPTIG00000020569
panthera_pardus ENSPPRG00000012314
vulpes_vulpes ENSVVUG00000020807
equus_caballus ENSECAG00000043118
bos_mutus ENSBMUG00000025907
prolemur_simus ENSPSMG00000023385
prolemur_simus ENSPSMG00000023379
prolemur_simus ENSPSMG00000023363
oryctolagus_cuniculus ENSOCUG00000033629
procavia_capensis ENSPCAG00000012232
ovis_aries ENSOARG00000008165
capra_hircus ENSCHIG00000012163
bos_indicus ENSBIXG00000003502
bos_indicus ENSBIXG00005013894
bos_taurus ENSBTAG00000011720
bos_mutus ENSBMUG00000018818
bison_bison ENSBBBG00000013035
tursiops_truncatus ENSTTRG00000000793
sus_scrofa ENSSSCG00000027854
vicugna_pacos ENSVPAG00000000419
erinaceus_europaeus ENSEEUG00000002688
ursus_americanus ENSUAMG00000021738
ursus_maritimus ENSUMAG00000017746
ailuropoda_melanoleuca ENSAMEG00000004236
mustela_putorius ENSMPUG00000001678
neovison_vison ENSNVIG00000000778
canis_lupus ENSCAFG00000000143
canis_lupus ENSCAFG00020024242
vulpes_vulpes ENSVVUG00000020818
panthera_pardus ENSPPRG00000014390
panthera_tigris ENSPTIG00000020042
felis_catus ENSFCAG00000000899
equus_asinus ENSEASG00005006326
equus_caballus ENSECAG00000016761
pteropus_vampyrus ENSPVAG00000003918
tupaia_belangeri ENSTBEG00000017090
choloepus_hoffmanni ENSCHOG00000002615
dasypus_novemcinctus ENSDNOG00000015533
loxodonta_africana ENSLAFG00000012770
vombatus_ursinus ENSVURG00010010981
vombatus_ursinus ENSVURG00010010971
phascolarctos_cinereus ENSPCIG00000031287
notamacropus_eugenii ENSMEUG00000008970
sarcophilus_harrisii ENSSHAG00000003202
chrysemys_picta ENSCPBG00000013896
