urocitellus_parryii ENSUPAG00010004776
spermophilus_dauricus ENSSDAG00000003648
marmota_marmota ENSMMMG00000022268
castor_canadensis ENSCCNG00000030175
microcebus_murinus ENSMICG00000027775
prolemur_simus ENSPSMG00000004618
macaca_fascicularis ENSMFAG00000043777
macaca_nemestrina ENSMNEG00000044167
theropithecus_gelada ENSTGEG00000005021
piliocolobus_tephrosceles ENSPTEG00000010623
callithrix_jacchus ENSCJAG00000065230
loxodonta_africana ENSLAFG00000028486
otolemur_garnettii ENSOGAG00000027004
ornithorhynchus_anatinus ENSOANG00000020782
ovis_aries ENSOARG00000000540
capra_hircus ENSCHIG00000015928
bos_indicus ENSBIXG00000015223
bos_taurus ENSBTAG00000038461
bison_bison ENSBBBG00000005855
bos_mutus ENSBMUG00000003229
sus_scrofa ENSSSCG00000024402
equus_caballus ENSECAG00000012299
equus_asinus ENSEASG00005014949
ursus_maritimus ENSUMAG00000016363
ursus_maritimus ENSUMAG00000016359
ursus_americanus ENSUAMG00000011097
ailuropoda_melanoleuca ENSAMEG00000004046
mustela_putorius ENSMPUG00000005976
mustela_putorius ENSMPUG00000012766
canis_lupus ENSCAFG00000024781
canis_lupus ENSCAFG00020005999
vulpes_vulpes ENSVVUG00000005349
panthera_pardus ENSPPRG00000011750
panthera_tigris ENSPTIG00000005414
felis_catus ENSFCAG00000030909
oryctolagus_cuniculus ENSOCUG00000027871
chrysemys_picta ENSCPBG00000018732
mus_musculus ENSMUSG00000030359
mus_spicilegus ENSMSIG00000000481
mus_spretus MGP_SPRETEiJ_G0029955
mus_caroli MGP_CAROLIEiJ_G0028911
mus_pahari MGP_PahariEiJ_G0022675
rattus_norvegicus ENSRNOG00000006709
meriones_unguiculatus ENSMUGG00000017812
meriones_unguiculatus ENSMUGG00000017690
cricetulus_griseus ENSCGRG00000015485
cricetulus_griseus ENSCGRG00015005308
cricetulus_griseus ENSCGRG00001023080
mesocricetus_auratus ENSMAUG00000011490
peromyscus_maniculatus ENSPEMG00000001470
microtus_ochrogaster ENSMOCG00000000512
nannospalax_galili ENSNGAG00000015395
jaculus_jaculus ENSJJAG00000018093
meriones_unguiculatus ENSMUGG00000026395
neovison_vison ENSNVIG00000010897
numida_meleagris ENSNMEG00000003122
