cebus_capucinus ENSCCAG00000035184
aotus_nancymaae ENSANAG00000023424
rhinopithecus_roxellana ENSRROG00000038712
rhinopithecus_bieti ENSRBIG00000034213
piliocolobus_tephrosceles ENSPTEG00000026514
theropithecus_gelada ENSTGEG00000015785
macaca_nemestrina ENSMNEG00000034800
cercocebus_atys ENSCATG00000040128
mandrillus_leucophaeus ENSMLEG00000033766
papio_anubis ENSPANG00000012866
chlorocebus_sabaeus ENSCSAG00000009489
homo_sapiens ENSG00000226490
pan_troglodytes ENSPTRG00000051970
gorilla_gorilla ENSGGOG00000027364
microcebus_murinus ENSMICG00000047940
propithecus_coquereli ENSPCOG00000022315
mus_musculus ENSMUSG00000086361
mus_spicilegus ENSMSIG00000018810
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020766
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019868
mus_pahari MGP_PahariEiJ_G0019874
meriones_unguiculatus ENSMUGG00000015043
cricetulus_griseus_crigri-picr ENSCGRG00015016654
cricetulus_griseus_chok1gshd ENSCGRG00001011043
mesocricetus_auratus ENSMAUG00000013636
peromyscus_maniculatus_bairdii ENSPEMG00000019855
microtus_ochrogaster ENSMOCG00000012239
nannospalax_galili ENSNGAG00000010718
jaculus_jaculus ENSJJAG00000018857
castor_canadensis ENSCCNG00000027889
chinchilla_lanigera ENSCLAG00000008929
octodon_degus ENSODEG00000015406
cavia_porcellus ENSCPOG00000034694
heterocephalus_glaber_male ENSHGLG00100013118
heterocephalus_glaber_female ENSHGLG00000018605
fukomys_damarensis ENSFDAG00000011112
urocitellus_parryii ENSUPAG00010006543
felis_catus ENSFCAG00000042906
panthera_pardus ENSPPRG00000004827
mustela_putorius_furo ENSMPUG00000001972
callithrix_jacchus ENSCJAG00000010371
ovis_aries ENSOARG00000002509
dasypus_novemcinctus ENSDNOG00000039494
sarcophilus_harrisii ENSSHAG00000016973
