bos_taurus ENSBTAG00000038055
bos_mutus ENSBMUG00000002805
bison_bison_bison ENSBBBG00000004740
capra_hircus ENSCHIG00000010020
sus_scrofa ENSSSCG00000024672
ursus_americanus ENSUAMG00000004781
neovison_vison ENSNVIG00000004925
canis_lupus_dingo ENSCAFG00020017282
vulpes_vulpes ENSVVUG00000002241
felis_catus ENSFCAG00000046707
panthera_pardus ENSPPRG00000002397
equus_asinus_asinus ENSEASG00005021852
equus_caballus ENSECAG00000034102
pteropus_vampyrus ENSPVAG00000009515
papio_anubis ENSPANG00000004273
chlorocebus_sabaeus ENSCSAG00000011915
cercocebus_atys ENSCATG00000037745
homo_sapiens ENSG00000129911
callithrix_jacchus ENSCJAG00000042076
cebus_capucinus ENSCCAG00000032470
aotus_nancymaae ENSANAG00000030532
macaca_mulatta ENSMMUG00000047855
macaca_mulatta ENSMMUG00000042784
macaca_nemestrina ENSMNEG00000044693
rhinopithecus_bieti ENSRBIG00000037970
rhinopithecus_roxellana ENSRROG00000044138
piliocolobus_tephrosceles ENSPTEG00000031912
theropithecus_gelada ENSTGEG00000012149
gorilla_gorilla ENSGGOG00000038452
pan_troglodytes ENSPTRG00000049033
saimiri_boliviensis_boliviensis ENSSBOG00000022619
pongo_abelii ENSPPYG00000010533
microcebus_murinus ENSMICG00000044271
prolemur_simus ENSPSMG00000009166
otolemur_garnettii ENSOGAG00000034621
castor_canadensis ENSCCNG00000001238
dipodomys_ordii ENSDORG00000026084
cricetulus_griseus_crigri-picr ENSCGRG00015003466
cricetulus_griseus_chok1gshd ENSCGRG00001014949
cricetulus_griseus_crigri ENSCGRG00000011184
mesocricetus_auratus ENSMAUG00000013135
microtus_ochrogaster ENSMOCG00000018828
peromyscus_maniculatus_bairdii ENSPEMG00000022678
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016408
mus_musculus ENSMUSG00000035397
mus_spicilegus ENSMSIG00000021998
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015590
mus_pahari MGP_PahariEiJ_G0031003
rattus_norvegicus ENSRNOG00000033694
meriones_unguiculatus ENSMUGG00000014292
nannospalax_galili ENSNGAG00000022068
jaculus_jaculus ENSJJAG00000013835
ictidomys_tridecemlineatus ENSSTOG00000033169
marmota_marmota_marmota ENSMMMG00000016205
urocitellus_parryii ENSUPAG00010012938
spermophilus_dauricus ENSSDAG00000006724
octodon_degus ENSODEG00000013602
chinchilla_lanigera ENSCLAG00000007739
cavia_porcellus ENSCPOG00000008649
cavia_aperea ENSCAPG00000008934
heterocephalus_glaber_female ENSHGLG00000007377
phascolarctos_cinereus ENSPCIG00000005422
ornithorhynchus_anatinus ENSOANG00000010450
notechis_scutatus ENSNSUG00000007500
pogona_vitticeps ENSPVIG00000007699
salvator_merianae ENSSMRG00000003993
sphenodon_punctatus ENSSPUG00000015949
crocodylus_porosus ENSCPRG00005009055
chelonoidis_abingdonii ENSCABG00000022992
