marmota_marmota ENSMMMG00000021091
dasypus_novemcinctus ENSDNOG00000036445
sarcophilus_harrisii ENSSHAG00000000459
sarcophilus_harrisii ENSSHAG00000001803
sarcophilus_harrisii ENSSHAG00000000573
dasypus_novemcinctus ENSDNOG00000037614
dasypus_novemcinctus ENSDNOG00000044449
dasypus_novemcinctus ENSDNOG00000042877
dasypus_novemcinctus ENSDNOG00000031745
dasypus_novemcinctus ENSDNOG00000049559
dasypus_novemcinctus ENSDNOG00000045528
dasypus_novemcinctus ENSDNOG00000046067
dasypus_novemcinctus ENSDNOG00000035803
dasypus_novemcinctus ENSDNOG00000031949
dasypus_novemcinctus ENSDNOG00000031600
dasypus_novemcinctus ENSDNOG00000034913
dasypus_novemcinctus ENSDNOG00000035653
dasypus_novemcinctus ENSDNOG00000038337
dasypus_novemcinctus ENSDNOG00000032893
dasypus_novemcinctus ENSDNOG00000031011
dasypus_novemcinctus ENSDNOG00000037121
dasypus_novemcinctus ENSDNOG00000046577
dasypus_novemcinctus ENSDNOG00000048900
dasypus_novemcinctus ENSDNOG00000042622
dasypus_novemcinctus ENSDNOG00000037445
dasypus_novemcinctus ENSDNOG00000045932
dasypus_novemcinctus ENSDNOG00000034467
dasypus_novemcinctus ENSDNOG00000037722
dasypus_novemcinctus ENSDNOG00000048800
dasypus_novemcinctus ENSDNOG00000038428
dasypus_novemcinctus ENSDNOG00000038081
dasypus_novemcinctus ENSDNOG00000037041
dasypus_novemcinctus ENSDNOG00000049543
dasypus_novemcinctus ENSDNOG00000042214
dasypus_novemcinctus ENSDNOG00000040937
dasypus_novemcinctus ENSDNOG00000033191
dasypus_novemcinctus ENSDNOG00000037076
dasypus_novemcinctus ENSDNOG00000037030
dasypus_novemcinctus ENSDNOG00000031653
dasypus_novemcinctus ENSDNOG00000040034
dasypus_novemcinctus ENSDNOG00000031086
dasypus_novemcinctus ENSDNOG00000037698
dasypus_novemcinctus ENSDNOG00000042768
dasypus_novemcinctus ENSDNOG00000045838
dasypus_novemcinctus ENSDNOG00000034257
dasypus_novemcinctus ENSDNOG00000043398
