zonotrichia_albicollis ENSZALG00000001105
junco_hyemalis ENSJHYG00000012615
serinus_canaria ENSSCAG00000016574
lonchura_striata_domestica ENSLSDG00000001486
taeniopygia_guttata ENSTGUG00000004663
parus_major ENSPMJG00000011427
cyanistes_caeruleus ENSCCEG00000022264
ficedula_albicollis ENSFALG00000012116
lepidothrix_coronata ENSLCOG00000015444
manacus_vitellinus ENSMVIG00005005118
melopsittacus_undulatus ENSMUNG00000015921
calidris_pygmaea ENSCPGG00000011091
calidris_pugnax ENSCPUG00000001256
meleagris_gallopavo ENSMGAG00000008153
gallus_gallus ENSGALG00000009098
coturnix_japonica ENSCJPG00005000249
numida_meleagris ENSNMEG00000002528
anser_brachyrhynchus ENSABRG00000002311
anas_platyrhynchos_platyrhynchos ENSAPLG00000003254
apteryx_owenii ENSAOWG00000019065
apteryx_haastii ENSAHAG00000000761
apteryx_rowi ENSARWG00000013419
dromaius_novaehollandiae ENSDNVG00000004123
nothoprocta_perdicaria ENSNPEG00000004610
crocodylus_porosus ENSCPRG00005006835
gopherus_agassizii ENSGAGG00000015345
chelonoidis_abingdonii ENSCABG00000020131
chrysemys_picta_bellii ENSCPBG00000020820
pelodiscus_sinensis ENSPSIG00000013291
pogona_vitticeps ENSPVIG00000022079
anolis_carolinensis ENSACAG00000022278
notechis_scutatus ENSNSUG00000010353
salvator_merianae ENSSMRG00000018185
sphenodon_punctatus ENSSPUG00000014011
phascolarctos_cinereus ENSPCIG00000024941
notamacropus_eugenii ENSMEUG00000010248
sarcophilus_harrisii ENSSHAG00000016376
monodelphis_domestica ENSMODG00000005627
propithecus_coquereli ENSPCOG00000019557
microcebus_murinus ENSMICG00000017610
carlito_syrichta ENSTSYG00000036815
pan_troglodytes ENSPTRG00000022365
pan_paniscus ENSPPAG00000044034
homo_sapiens ENSG00000013619
gorilla_gorilla ENSGGOG00000016675
nomascus_leucogenys ENSNLEG00000013570
rhinopithecus_bieti ENSRBIG00000039270
rhinopithecus_roxellana ENSRROG00000040769
colobus_angolensis_palliatus ENSCANG00000035944
macaca_nemestrina ENSMNEG00000030456
macaca_mulatta ENSMMUG00000022263
macaca_fascicularis ENSMFAG00000000232
papio_anubis ENSPANG00000008461
mandrillus_leucophaeus ENSMLEG00000034081
cercocebus_atys ENSCATG00000029196
theropithecus_gelada ENSTGEG00000007531
chlorocebus_sabaeus ENSCSAG00000007173
piliocolobus_tephrosceles ENSPTEG00000012779
pongo_abelii ENSPPYG00000020814
callithrix_jacchus ENSCJAG00000004077
saimiri_boliviensis_boliviensis ENSSBOG00000028326
cavia_aperea ENSCAPG00000000249
cavia_porcellus ENSCPOG00000040237
chinchilla_lanigera ENSCLAG00000002359
octodon_degus ENSODEG00000001129
heterocephalus_glaber_female ENSHGLG00000000314
heterocephalus_glaber_male ENSHGLG00100018872
fukomys_damarensis ENSFDAG00000017578
ictidomys_tridecemlineatus ENSSTOG00000027632
spermophilus_dauricus ENSSDAG00000011309
marmota_marmota_marmota ENSMMMG00000012347
urocitellus_parryii ENSUPAG00010020465
castor_canadensis ENSCCNG00000006506
dipodomys_ordii ENSDORG00000027915
peromyscus_maniculatus_bairdii ENSPEMG00000013693
microtus_ochrogaster ENSMOCG00000008090
cricetulus_griseus_chok1gshd ENSCGRG00001000251
cricetulus_griseus_crigri ENSCGRG00000007025
mesocricetus_auratus ENSMAUG00000005591
mus_musculus ENSMUSG00000059401
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034281
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033129
mus_pahari MGP_PahariEiJ_G0031670
meriones_unguiculatus ENSMUGG00000009447
cricetulus_griseus_crigri-picr ENSCGRG00015001031
mus_spicilegus ENSMSIG00000007520
nannospalax_galili ENSNGAG00000022239
jaculus_jaculus ENSJJAG00000003438
oryctolagus_cuniculus ENSOCUG00000016676
prolemur_simus ENSPSMG00000013530
otolemur_garnettii ENSOGAG00000013472
loxodonta_africana ENSLAFG00000017126
procavia_capensis ENSPCAG00000002714
echinops_telfairi ENSETEG00000009410
tupaia_belangeri ENSTBEG00000012216
ursus_americanus ENSUAMG00000015767
ailuropoda_melanoleuca ENSAMEG00000018292
mustela_putorius_furo ENSMPUG00000011578
neovison_vison ENSNVIG00000025007
canis_lupus_dingo ENSCAFG00020024331
canis_lupus_familiaris ENSCAFG00000019116
vulpes_vulpes ENSVVUG00000029025
panthera_pardus ENSPPRG00000020975
felis_catus ENSFCAG00000004331
capra_hircus ENSCHIG00000023727
ovis_aries ENSOARG00000008962
bos_taurus ENSBTAG00000021713
bos_mutus ENSBMUG00000003132
tursiops_truncatus ENSTTRG00000005667
sus_scrofa ENSSSCG00000012741
pteropus_vampyrus ENSPVAG00000007184
myotis_lucifugus ENSMLUG00000005323
erinaceus_europaeus ENSEEUG00000003395
pan_troglodytes ENSPTRG00000044895
aotus_nancymaae ENSANAG00000026108
cebus_capucinus ENSCCAG00000017216
equus_asinus_asinus ENSEASG00005016187
equus_caballus ENSECAG00000015482
sorex_araneus ENSSARG00000004531
dasypus_novemcinctus ENSDNOG00000034921
canis_lupus_dingo ENSCAFG00020024330
oryctolagus_cuniculus ENSOCUG00000029334
loxodonta_africana ENSLAFG00000028198
sarcophilus_harrisii ENSSHAG00000016473
ornithorhynchus_anatinus ENSOANG00000011632
xenopus_tropicalis ENSXETG00000007743
latimeria_chalumnae ENSLACG00000013569
scleropages_formosus ENSSFOG00015019828
paramormyrops_kingsleyae ENSPKIG00000016489
pygocentrus_nattereri ENSPNAG00000018908
astyanax_mexicanus ENSAMXG00000034449
ictalurus_punctatus ENSIPUG00000004273
esox_lucius ENSELUG00000011124
lepisosteus_oculatus ENSLOCG00000014480
