mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017391
mus_spicilegus ENSMSIG00000009616
mus_musculus ENSMUSG00000097386
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016555
mus_pahari MGP_PahariEiJ_G0017686
cricetulus_griseus_chok1gshd ENSCGRG00001008882
cricetulus_griseus_crigri-picr ENSCGRG00015011283
peromyscus_maniculatus_bairdii ENSPEMG00000024560
octodon_degus ENSODEG00000017780
urocitellus_parryii ENSUPAG00010016214
spermophilus_dauricus ENSSDAG00000001373
piliocolobus_tephrosceles ENSPTEG00000008072
theropithecus_gelada ENSTGEG00000026021
equus_asinus_asinus ENSEASG00005019487
equus_caballus ENSECAG00000036668
ursus_maritimus ENSUMAG00000017238
ursus_americanus ENSUAMG00000005300
