anabas_testudineus ENSATEG00000020654
betta_splendens ENSBSLG00000024710
periophthalmus_magnuspinnatus ENSPMGG00000024171
cottoperca_gobio ENSCGOG00000016071
scophthalmus_maximus ENSSMAG00000011731
seriola_lalandi ENSSLDG00000024905
seriola_dumerili ENSSDUG00000022253
lates_calcarifer ENSLCAG00010000161
cynoglossus_semilaevis ENSCSEG00000005125
monopterus_albus ENSMALG00000002526
mastacembelus_armatus ENSMAMG00000001272
labrus_bergylta ENSLBEG00000003010
amphiprion_percula ENSAPEG00000020603
amphiprion_ocellaris ENSAOCG00000005633
acanthochromis_polyacanthus ENSAPOG00000012503
stegastes_partitus ENSSPAG00000021307
parambassis_ranga ENSPRNG00000021089
poecilia_mexicana ENSPMEG00000022102
poecilia_latipinna ENSPLAG00000022661
poecilia_formosa ENSPFOG00000019629
poecilia_reticulata ENSPREG00000009499
xiphophorus_maculatus ENSXMAG00000026664
xiphophorus_couchianus ENSXCOG00000013704
gambusia_affinis ENSGAFG00000004891
cyprinodon_variegatus ENSCVAG00000019779
kryptolebias_marmoratus ENSKMAG00000000044
oryzias_latipes ENSORLG00000028062
oryzias_latipes ENSORLG00020007308
oryzias_latipes ENSORLG00015004685
oryzias_melastigma ENSOMEG00000013730
gouania_willdenowi ENSGWIG00000026606
astatotilapia_calliptera ENSACLG00000013625
maylandia_zebra ENSMZEG00005021530
haplochromis_burtoni ENSHBUG00000018517
neolamprologus_brichardi ENSNBRG00000016909
amphilophus_citrinellus ENSACIG00000016596
