propithecus_coquereli ENSPCOG00000024193
microcebus_murinus ENSMICG00000044535
macaca_mulatta ENSMMUG00000040252
rhinopithecus_roxellana ENSRROG00000045734
rhinopithecus_bieti ENSRBIG00000042995
nomascus_leucogenys ENSNLEG00000029489
tupaia_belangeri ENSTBEG00000008163
octodon_degus ENSODEG00000014217
heterocephalus_glaber_male ENSHGLG00100003538
bison_bison_bison ENSBBBG00000022704
peromyscus_maniculatus_bairdii ENSPEMG00000014909
vulpes_vulpes ENSVVUG00000029439
microcebus_murinus ENSMICG00000032766
jaculus_jaculus ENSJJAG00000019427
ovis_aries ENSOARG00000007772
sus_scrofa ENSSSCG00000036778
panthera_pardus ENSPPRG00000002777
notechis_scutatus ENSNSUG00000004350
neolamprologus_brichardi ENSNBRG00000003619
ictalurus_punctatus ENSIPUG00000021708
caenorhabditis_elegans_strain_n2 WBGene00011735
