taeniopygia_guttata ENSTGUG00000002460
serinus_canaria ENSSCAG00000010610
zonotrichia_albicollis ENSZALG00000010948
junco_hyemalis ENSJHYG00000016665
cyanistes_caeruleus ENSCCEG00000023107
parus_major ENSPMJG00000015147
manacus_vitellinus ENSMVIG00005009470
lepidothrix_coronata ENSLCOG00000003144
melopsittacus_undulatus ENSMUNG00000016323
calidris_pugnax ENSCPUG00000008023
calidris_pygmaea ENSCPGG00000004915
anas_platyrhynchos_platyrhynchos ENSAPLG00000016046
anser_brachyrhynchus ENSABRG00000018470
gallus_gallus ENSGALG00000052829
coturnix_japonica ENSCJPG00005015810
meleagris_gallopavo ENSMGAG00000000948
numida_meleagris ENSNMEG00000000445
apteryx_owenii ENSAOWG00000000613
apteryx_haastii ENSAHAG00000012053
apteryx_rowi ENSARWG00000006750
dromaius_novaehollandiae ENSDNVG00000003252
nothoprocta_perdicaria ENSNPEG00000004440
crocodylus_porosus ENSCPRG00005011092
pelodiscus_sinensis ENSPSIG00000012979
chelonoidis_abingdonii ENSCABG00000000307
salvator_merianae ENSSMRG00000011631
pogona_vitticeps ENSPVIG00000013112
pan_paniscus ENSPPAG00000037333
pan_troglodytes ENSPTRG00000021576
homo_sapiens ENSG00000177943
gorilla_gorilla ENSGGOG00000034827
pongo_abelii ENSPPYG00000019788
nomascus_leucogenys ENSNLEG00000008540
macaca_fascicularis ENSMFAG00000000794
macaca_mulatta ENSMMUG00000005048
macaca_nemestrina ENSMNEG00000033930
mandrillus_leucophaeus ENSMLEG00000030129
cercocebus_atys ENSCATG00000029861
papio_anubis ENSPANG00000026163
chlorocebus_sabaeus ENSCSAG00000016066
rhinopithecus_bieti ENSRBIG00000038570
rhinopithecus_roxellana ENSRROG00000028994
colobus_angolensis_palliatus ENSCANG00000023233
saimiri_boliviensis_boliviensis ENSSBOG00000035516
callithrix_jacchus ENSCJAG00000011117
cebus_capucinus ENSCCAG00000022947
aotus_nancymaae ENSANAG00000028683
carlito_syrichta ENSTSYG00000034463
microcebus_murinus ENSMICG00000016485
propithecus_coquereli ENSPCOG00000027334
otolemur_garnettii ENSOGAG00000016460
mus_musculus ENSMUSG00000026941
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024200
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023283
mus_pahari MGP_PahariEiJ_G0024741
rattus_norvegicus ENSRNOG00000016584
meriones_unguiculatus ENSMUGG00000006001
cricetulus_griseus_crigri ENSCGRG00000011585
cricetulus_griseus_chok1gshd ENSCGRG00001011748
cricetulus_griseus_crigri-picr ENSCGRG00015007777
mesocricetus_auratus ENSMAUG00000018382
peromyscus_maniculatus_bairdii ENSPEMG00000018709
microtus_ochrogaster ENSMOCG00000013367
nannospalax_galili ENSNGAG00000018162
jaculus_jaculus ENSJJAG00000010818
dipodomys_ordii ENSDORG00000005098
urocitellus_parryii ENSUPAG00010006442
spermophilus_dauricus ENSSDAG00000002432
ictidomys_tridecemlineatus ENSSTOG00000015455
heterocephalus_glaber_male ENSHGLG00100007689
heterocephalus_glaber_female ENSHGLG00000014599
fukomys_damarensis ENSFDAG00000009397
chinchilla_lanigera ENSCLAG00000007572
octodon_degus ENSODEG00000014929
capra_hircus ENSCHIG00000000155
ovis_aries ENSOARG00000001407
bos_mutus ENSBMUG00000001559
tursiops_truncatus ENSTTRG00000002663
sus_scrofa ENSSSCG00000005832
neovison_vison ENSNVIG00000012500
mustela_putorius_furo ENSMPUG00000010998
ailuropoda_melanoleuca ENSAMEG00000013259
canis_lupus_familiaris ENSCAFG00000019548
pteropus_vampyrus ENSPVAG00000009634
equus_caballus ENSECAG00000010162
equus_asinus_asinus ENSEASG00005017483
erinaceus_europaeus ENSEEUG00000009321
loxodonta_africana ENSLAFG00000027973
procavia_capensis ENSPCAG00000009626
ochotona_princeps ENSOPRG00000006883
dasypus_novemcinctus ENSDNOG00000038472
notamacropus_eugenii ENSMEUG00000015012
phascolarctos_cinereus ENSPCIG00000023743
monodelphis_domestica ENSMODG00000017335
sarcophilus_harrisii ENSSHAG00000006724
ornithorhynchus_anatinus ENSOANG00000010204
xenopus_tropicalis ENSXETG00000003945
latimeria_chalumnae ENSLACG00000002637
takifugu_rubripes ENSTRUG00000012326
danio_rerio ENSDARG00000073695
