cebus_capucinus ENSCCAG00000023690
callithrix_jacchus ENSCJAG00000040706
saimiri_boliviensis ENSSBOG00000027515
aotus_nancymaae ENSANAG00000018451
rhinopithecus_roxellana ENSRROG00000025779
piliocolobus_tephrosceles ENSPTEG00000027320
papio_anubis ENSPANG00000032158
theropithecus_gelada ENSTGEG00000020286
macaca_nemestrina ENSMNEG00000024467
mandrillus_leucophaeus ENSMLEG00000019453
nomascus_leucogenys ENSNLEG00000034945
prolemur_simus ENSPSMG00000000471
cricetulus_griseus ENSCGRG00015024660
peromyscus_maniculatus ENSPEMG00000024689
