lepidothrix_coronata ENSLCOG00000014745
manacus_vitellinus ENSMVIG00005002848
zonotrichia_albicollis ENSZALG00000002619
junco_hyemalis ENSJHYG00000002383
serinus_canaria ENSSCAG00000017048
lonchura_striata ENSLSDG00000007010
taeniopygia_guttata ENSTGUG00000006426
ficedula_albicollis ENSFALG00000011177
parus_major ENSPMJG00000012175
cyanistes_caeruleus ENSCCEG00000016915
melopsittacus_undulatus ENSMUNG00000012323
calidris_pugnax ENSCPUG00000001143
calidris_pygmaea ENSCPGG00000011236
anser_brachyrhynchus ENSABRG00000001350
anas_platyrhynchos ENSAPLG00000009170
meleagris_gallopavo ENSMGAG00000005170
gallus_gallus ENSGALG00000007282
coturnix_japonica ENSCJPG00005016882
numida_meleagris ENSNMEG00000020731
apteryx_owenii ENSAOWG00000016329
apteryx_haastii ENSAHAG00000019191
apteryx_rowi ENSARWG00000002481
dromaius_novaehollandiae ENSDNVG00000003511
nothoprocta_perdicaria ENSNPEG00000006139
crocodylus_porosus ENSCPRG00005007016
sphenodon_punctatus ENSSPUG00000018543
gopherus_agassizii ENSGAGG00000011038
chelonoidis_abingdonii ENSCABG00000009202
chrysemys_picta ENSCPBG00000001811
pelodiscus_sinensis ENSPSIG00000013651
pogona_vitticeps ENSPVIG00000005600
anolis_carolinensis ENSACAG00000028055
notechis_scutatus ENSNSUG00000018296
salvator_merianae ENSSMRG00000003494
piliocolobus_tephrosceles ENSPTEG00000021249
colobus_angolensis ENSCANG00000011622
rhinopithecus_roxellana ENSRROG00000031920
rhinopithecus_bieti ENSRBIG00000006411
macaca_mulatta ENSMMUG00000063694
macaca_nemestrina ENSMNEG00000036462
macaca_fascicularis ENSMFAG00000001182
papio_anubis ENSPANG00000005736
theropithecus_gelada ENSTGEG00000008103
mandrillus_leucophaeus ENSMLEG00000004682
cercocebus_atys ENSCATG00000037687
chlorocebus_sabaeus ENSCSAG00000007056
pan_troglodytes ENSPTRG00000022378
pan_troglodytes ENSPTRG00000052698
pan_paniscus ENSPPAG00000038386
homo_sapiens ENSG00000183862
gorilla_gorilla ENSGGOG00000012911
pongo_abelii ENSPPYG00000020824
nomascus_leucogenys ENSNLEG00000013742
cebus_capucinus ENSCCAG00000024065
saimiri_boliviensis ENSSBOG00000023641
callithrix_jacchus ENSCJAG00000003872
aotus_nancymaae ENSANAG00000019954
carlito_syrichta ENSTSYG00000026499
propithecus_coquereli ENSPCOG00000011966
microcebus_murinus ENSMICG00000046266
prolemur_simus ENSPSMG00000005875
otolemur_garnettii ENSOGAG00000017165
chinchilla_lanigera ENSCLAG00000001030
octodon_degus ENSODEG00000001413
cavia_porcellus ENSCPOG00000011556
cavia_aperea ENSCAPG00000014046
heterocephalus_glaber ENSHGLG00000002074
heterocephalus_glaber ENSHGLG00100000657
fukomys_damarensis ENSFDAG00000006164
urocitellus_parryii ENSUPAG00010020270
ictidomys_tridecemlineatus ENSSTOG00000020254
spermophilus_dauricus ENSSDAG00000011796
marmota_marmota ENSMMMG00000011927
castor_canadensis ENSCCNG00000007494
dipodomys_ordii ENSDORG00000002366
peromyscus_maniculatus ENSPEMG00000015478
microtus_ochrogaster ENSMOCG00000009627
cricetulus_griseus ENSCGRG00015001755
cricetulus_griseus ENSCGRG00001001945
cricetulus_griseus ENSCGRG00000006395
mesocricetus_auratus ENSMAUG00000002288
mus_spicilegus ENSMSIG00000027442
mus_spretus MGP_SPRETEiJ_G0034290
mus_musculus ENSMUSG00000005864
mus_caroli MGP_CAROLIEiJ_G0033137
mus_pahari MGP_PahariEiJ_G0031679
rattus_norvegicus ENSRNOG00000030119
rattus_norvegicus ENSRNOG00000047540
meriones_unguiculatus ENSMUGG00000003287
nannospalax_galili ENSNGAG00000024199
jaculus_jaculus ENSJJAG00000013042
tupaia_belangeri ENSTBEG00000001077
oryctolagus_cuniculus ENSOCUG00000009436
ursus_maritimus ENSUMAG00000009790
ursus_americanus ENSUAMG00000001579
ailuropoda_melanoleuca ENSAMEG00000016961
mustela_putorius ENSMPUG00000011689
neovison_vison ENSNVIG00000000317
canis_lupus ENSCAFG00000019153
canis_lupus ENSCAFG00020023289
vulpes_vulpes ENSVVUG00000029047
panthera_pardus ENSPPRG00000016355
panthera_tigris ENSPTIG00000009074
felis_catus ENSFCAG00000030863
equus_asinus ENSEASG00005016083
equus_caballus ENSECAG00000003437
capra_hircus ENSCHIG00000006211
ovis_aries ENSOARG00000008580
bos_indicus ENSBIXG00005002074
bos_taurus ENSBTAG00000020725
bos_mutus ENSBMUG00000002775
bison_bison ENSBBBG00000005649
tursiops_truncatus ENSTTRG00000016704
sus_scrofa ENSSSCG00000012753
vicugna_pacos ENSVPAG00000012248
pteropus_vampyrus ENSPVAG00000010545
myotis_lucifugus ENSMLUG00000007044
sorex_araneus ENSSARG00000013925
procavia_capensis ENSPCAG00000003087
echinops_telfairi ENSETEG00000017629
loxodonta_africana ENSLAFG00000026713
dasypus_novemcinctus ENSDNOG00000042009
erinaceus_europaeus ENSEEUG00000011541
vombatus_ursinus ENSVURG00010020989
phascolarctos_cinereus ENSPCIG00000031483
notamacropus_eugenii ENSMEUG00000007641
sarcophilus_harrisii ENSSHAG00000012003
monodelphis_domestica ENSMODG00000005819
ornithorhynchus_anatinus ENSOANG00000008733
xenopus_tropicalis ENSXETG00000011864
latimeria_chalumnae ENSLACG00000014042
erpetoichthys_calabaricus ENSECRG00000011619
eptatretus_burgeri ENSEBUG00000017016
larimichthys_crocea ENSLCRG00005009273
mola_mola ENSMMOG00000014088
tetraodon_nigroviridis ENSTNIG00000011813
takifugu_rubripes ENSTRUG00000013886
lates_calcarifer ENSLCAG00010023703
parambassis_ranga ENSPRNG00000010347
gouania_willdenowi ENSGWIG00000009455
monopterus_albus ENSMALG00000020648
mastacembelus_armatus ENSMAMG00000012107
anabas_testudineus ENSATEG00000011912
betta_splendens ENSBSLG00000015275
poecilia_formosa ENSPFOG00000019454
poecilia_mexicana ENSPMEG00000008029
poecilia_latipinna ENSPLAG00000006514
poecilia_reticulata ENSPREG00000021190
xiphophorus_maculatus ENSXMAG00000028832
gambusia_affinis ENSGAFG00000006606
fundulus_heteroclitus ENSFHEG00000002136
cyprinodon_variegatus ENSCVAG00000021898
kryptolebias_marmoratus ENSKMAG00000005751
oryzias_latipes ENSORLG00000009251
oryzias_latipes ENSORLG00015005727
oryzias_latipes ENSORLG00020001605
oryzias_melastigma ENSOMEG00000005093
astatotilapia_calliptera ENSACLG00000010498
maylandia_zebra ENSMZEG00005014084
pundamilia_nyererei ENSPNYG00000021007
haplochromis_burtoni ENSHBUG00000004404
oreochromis_niloticus ENSONIG00000004443
neolamprologus_brichardi ENSNBRG00000016189
amphilophus_citrinellus ENSACIG00000013635
cynoglossus_semilaevis ENSCSEG00000014115
cottoperca_gobio ENSCGOG00000001610
gasterosteus_aculeatus ENSGACG00000020343
labrus_bergylta ENSLBEG00000004471
periophthalmus_magnuspinnatus ENSPMGG00000009659
seriola_lalandi ENSSLDG00000014847
seriola_dumerili ENSSDUG00000014515
scophthalmus_maximus ENSSMAG00000017821
amphiprion_percula ENSAPEG00000006384
amphiprion_ocellaris ENSAOCG00000008676
acanthochromis_polyacanthus ENSAPOG00000012169
acanthochromis_polyacanthus ENSAPOG00000019866
stegastes_partitus ENSSPAG00000009954
hippocampus_comes ENSHCOG00000006778
gadus_morhua ENSGMOG00000004872
hucho_hucho ENSHHUG00000019376
esox_lucius ENSELUG00000009608
clupea_harengus ENSCHAG00000018572
denticeps_clupeoides ENSDCDG00000034552
astyanax_mexicanus ENSAMXG00005014108
astyanax_mexicanus ENSAMXG00000007050
pygocentrus_nattereri ENSPNAG00000000615
electrophorus_electricus ENSEEEG00000000556
danio_rerio ENSDARG00000100436
scleropages_formosus ENSSFOG00015003724
paramormyrops_kingsleyae ENSPKIG00000014391
denticeps_clupeoides ENSDCDG00000016447
clupea_harengus ENSCHAG00000005860
astyanax_mexicanus ENSAMXG00000014060
astyanax_mexicanus ENSAMXG00005023183
pygocentrus_nattereri ENSPNAG00000020013
ictalurus_punctatus ENSIPUG00000015732
electrophorus_electricus ENSEEEG00000008232
danio_rerio ENSDARG00000102968
hucho_hucho ENSHHUG00000016226
