labrus_bergylta ENSLBEG00000007875
takifugu_rubripes ENSTRUG00000023280
poecilia_reticulata ENSPREG00000018194
poecilia_reticulata ENSPREG00000018186
poecilia_latipinna ENSPLAG00000023834
poecilia_latipinna ENSPLAG00000014039
poecilia_formosa ENSPFOG00000023953
poecilia_mexicana ENSPMEG00000022221
xiphophorus_maculatus ENSXMAG00000021625
gambusia_affinis ENSGAFG00000010258
cyprinodon_variegatus ENSCVAG00000020979
fundulus_heteroclitus ENSFHEG00000002815
kryptolebias_marmoratus ENSKMAG00000000631
oryzias_latipes ENSORLG00000029269
oryzias_latipes ENSORLG00020019101
oryzias_latipes_asm223469v1 ENSORLG00015018934
oryzias_melastigma ENSOMEG00000010184
hippocampus_comes ENSHCOG00000019078
anabas_testudineus ENSATEG00000004733
mastacembelus_armatus ENSMAMG00000000630
scophthalmus_maximus ENSSMAG00000016854
cynoglossus_semilaevis ENSCSEG00000003396
seriola_dumerili ENSSDUG00000019884
seriola_lalandi_dorsalis ENSSLDG00000003126
mola_mola ENSMMOG00000014908
mola_mola ENSMMOG00000008908
stegastes_partitus ENSSPAG00000005969
stegastes_partitus ENSSPAG00000005962
amphiprion_percula ENSAPEG00000001695
amphiprion_ocellaris ENSAOCG00000011418
acanthochromis_polyacanthus ENSAPOG00000019516
maylandia_zebra ENSMZEG00005000130
astatotilapia_calliptera ENSACLG00000004677
pundamilia_nyererei ENSPNYG00000016592
haplochromis_burtoni ENSHBUG00000003623
neolamprologus_brichardi ENSNBRG00000001909
periophthalmus_magnuspinnatus ENSPMGG00000005212
esox_lucius ENSELUG00000013186
ictalurus_punctatus ENSIPUG00000021220
