castor_canadensis ENSCCNG00000001256
dipodomys_ordii ENSDORG00000028990
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021169
mus_musculus ENSMUSG00000091604
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020274
mus_pahari MGP_PahariEiJ_G0020277
meriones_unguiculatus ENSMUGG00000026540
cricetulus_griseus_chok1gshd ENSCGRG00001010607
cricetulus_griseus_crigri-picr ENSCGRG00015008114
chinchilla_lanigera ENSCLAG00000001015
octodon_degus ENSODEG00000010634
heterocephalus_glaber_female ENSHGLG00000003935
